Distance_(unit),Gray_Value
0.00000,5.000
0.00309,4.984
0.00619,4.968
0.00928,4.952
0.01238,4.936
0.01547,4.920
0.01857,4.904
0.02166,4.888
0.02475,4.872
0.02785,4.856
0.03094,4.840
0.03404,4.824
0.03713,4.808
0.04022,4.792
0.04332,4.999
0.04641,5.000
0.04951,5.000
0.05260,5.000
0.05570,5.000
0.05879,5.000
0.06188,5.000
0.06498,5.000
0.06807,5.000
0.07117,5.000
0.07426,5.000
0.07735,5.000
0.08045,5.000
0.08354,5.000
0.08664,5.000
0.08973,5.000
0.09283,5.000
0.09592,5.000
0.09901,5.000
0.10211,5.000
0.10520,5.000
0.10830,5.000
0.11139,5.000
0.11448,5.000
0.11758,5.000
0.12067,5.000
0.12377,5.000
0.12686,5.000
0.12996,5.000
0.13305,5.000
0.13614,5.000
0.13924,5.000
0.14233,4.347
0.14543,4.333
0.14852,4.333
0.15161,4.333
0.15471,4.333
0.15780,4.333
0.16090,4.333
0.16399,4.333
0.16709,4.333
0.17018,4.333
0.17327,4.333
0.17637,4.333
0.17946,4.333
0.18256,4.333
0.18565,4.333
0.18875,4.333
0.19184,4.982
0.19493,5.000
0.19803,5.000
0.20112,5.000
0.20422,5.000
0.20731,5.000
0.21040,5.000
0.21350,5.000
0.21659,5.000
0.21969,5.000
0.22278,5.000
0.22588,5.000
0.22897,5.000
0.23206,5.000
0.23516,5.000
0.23825,5.000
0.24135,5.322
0.24444,5.333
0.24753,5.333
0.25063,5.333
0.25372,5.333
0.25682,5.333
0.25991,5.333
0.26301,5.333
0.26610,5.333
0.26919,5.333
0.27229,5.333
0.27538,5.333
0.27848,5.333
0.28157,5.333
0.28466,5.333
0.28776,5.333
0.29085,5.333
0.29395,5.333
0.29704,5.333
0.30014,5.333
0.30323,5.333
0.30632,5.333
0.30942,5.333
0.31251,5.333
0.31561,5.861
0.31870,6.312
0.32179,6.333
0.32489,6.333
0.32798,6.333
0.33108,6.333
0.33417,6.333
0.33727,6.333
0.34036,5.382
0.34345,5.333
0.34655,5.333
0.34964,6.283
0.35274,6.333
0.35583,6.333
0.35893,6.333
0.36202,6.333
0.36511,6.333
0.36821,6.333
0.37130,6.333
0.37440,6.333
0.37749,6.333
0.38058,5.388
0.38368,5.333
0.38677,5.333
0.38987,5.333
0.39296,5.333
0.39606,5.333
0.39915,5.333
0.40224,5.333
0.40534,5.333
0.40843,5.333
0.41153,5.333
0.41462,5.333
0.41771,5.333
0.42081,5.333
0.42390,5.333
0.42700,5.333
0.43009,5.333
0.43319,5.333
0.43628,5.333
0.43937,6.270
0.44247,6.333
0.44556,6.333
0.44866,6.333
0.45175,6.333
0.45484,6.333
0.45794,6.333
0.46103,6.333
0.46413,6.333
0.46722,6.333
0.47032,6.333
0.47341,6.333
0.47650,6.333
0.47960,6.333
0.48269,6.333
0.48579,6.333
0.48888,5.598
0.49197,6.276
0.49507,6.333
0.49816,6.333
0.50126,6.643
0.50435,6.667
0.50745,6.667
0.51054,6.705
0.51363,6.668
0.51673,6.663
0.51982,6.665
0.52292,6.667
0.52601,7.519
0.52911,7.659
0.53220,7.667
0.53529,8.451
0.53839,8.506
0.54148,8.531
0.54458,9.273
0.54767,9.333
0.55076,9.333
0.55386,9.333
0.55695,9.333
0.56005,9.333
0.56314,10.589
0.56624,9.446
0.56933,8.056
0.57242,8.303
0.57552,10.168
0.57861,10.333
0.58171,9.417
0.58480,7.807
0.58789,7.667
0.59099,7.667
0.59408,7.667
0.59718,7.667
0.60027,7.877
0.60337,7.881
0.60646,7.865
0.60955,7.849
0.61265,9.657
0.61574,9.817
0.61884,10.286
0.62193,10.333
0.62502,10.333
0.62812,10.333
0.63121,10.333
0.63431,10.333
0.63740,11.295
0.64050,11.336
0.64359,11.333
0.64668,10.426
0.64978,10.333
0.65287,10.277
0.65597,9.419
0.65906,9.333
0.66215,10.540
0.66525,10.667
0.66834,9.763
0.67144,8.763
0.67453,7.764
0.67763,6.764
0.68072,5.464
0.68381,5.333
0.68691,4.732
0.69000,4.667
0.69310,4.667
0.69619,5.209
0.69929,6.524
0.70238,6.667
0.70547,7.284
0.70857,7.633
0.71166,9.163
0.71476,9.745
0.71785,9.768
0.72094,10.272
0.72404,11.759
0.72713,11.908
0.73023,12.287
0.73332,12.632
0.73642,14.753
0.73951,15.000
0.74260,15.000
0.74570,14.302
0.74879,13.302
0.75189,13.171
0.75498,13.147
0.75807,13.123
0.76117,11.288
0.76426,11.050
0.76736,10.411
0.77045,10.333
0.77355,9.741
0.77664,9.074
0.77973,8.704
0.78283,8.667
0.78592,8.048
0.78902,7.961
0.79211,7.699
0.79520,7.667
0.79830,7.611
0.80139,7.596
0.80449,7.588
0.80758,7.580
0.81068,8.287
0.81377,8.357
0.81686,9.412
0.81996,9.926
0.82305,10.652
0.82615,11.079
0.82924,11.766
0.83233,12.330
0.83543,13.537
0.83852,14.545
0.84162,15.666
0.84471,16.663
0.84781,17.264
0.85090,16.809
0.85399,16.380
0.85709,15.768
0.86018,15.664
0.86328,15.640
0.86637,15.407
0.86946,15.119
0.87256,14.787
0.87565,14.553
0.87875,13.777
0.88184,13.714
0.88494,11.717
0.88803,11.925
0.89112,10.837
0.89422,10.396
0.89731,9.199
0.90041,9.002
0.90350,8.129
0.90660,8.000
0.90969,7.131
0.91278,7.000
0.91588,7.839
0.91897,7.995
0.92207,8.825
0.92516,9.570
0.92825,10.131
0.93135,10.539
0.93444,12.246
0.93754,14.085
0.94063,15.775
0.94373,16.000
0.94682,16.183
0.94991,16.939
0.95301,18.106
0.95610,19.473
