Distance_(unit),Gray_Value
0.0000,2.667
0.0031,2.667
0.0062,2.667
0.0093,2.667
0.0124,2.667
0.0155,2.667
0.0186,2.667
0.0217,2.667
0.0248,2.667
0.0278,2.667
0.0309,2.667
0.0340,2.667
0.0371,2.667
0.0402,2.667
0.0433,2.667
0.0464,2.667
0.0495,2.667
0.0526,2.667
0.0557,2.667
0.0588,2.667
0.0619,2.667
0.0650,2.667
0.0681,2.667
0.0712,2.667
0.0743,2.667
0.0774,2.667
0.0804,2.667
0.0835,2.667
0.0866,2.667
0.0897,2.667
0.0928,2.667
0.0959,2.667
0.0990,2.667
0.1021,2.667
0.1052,2.667
0.1083,2.667
0.1114,2.667
0.1145,2.667
0.1176,2.667
0.1207,2.667
0.1238,2.667
0.1269,2.667
0.1300,2.667
0.1330,2.667
0.1361,2.667
0.1392,2.667
0.1423,2.667
0.1454,2.667
0.1485,2.667
0.1516,2.667
0.1547,2.667
0.1578,2.667
0.1609,3.036
0.1640,3.658
0.1671,2.682
0.1702,2.667
0.1733,2.667
0.1764,2.667
0.1795,2.667
0.1826,2.667
0.1857,2.667
0.1887,2.667
0.1918,3.322
0.1949,3.333
0.1980,3.333
0.2011,3.333
0.2042,3.333
0.2073,3.333
0.2104,3.333
0.2135,3.333
0.2166,3.987
0.2197,4.000
0.2228,4.000
0.2259,4.000
0.2290,4.000
0.2321,4.000
0.2352,4.000
0.2383,4.000
0.2413,4.000
0.2444,4.000
0.2475,4.000
0.2506,4.000
0.2537,4.000
0.2568,4.000
0.2599,4.000
0.2630,4.000
0.2661,3.349
0.2692,3.333
0.2723,3.333
0.2754,3.333
0.2785,3.333
0.2816,3.333
0.2847,3.333
0.2878,3.333
0.2909,3.333
0.2939,3.333
0.2970,3.333
0.3001,3.333
0.3032,3.333
0.3063,3.333
0.3094,3.333
0.3125,3.333
0.3156,3.981
0.3187,4.000
0.3218,4.000
0.3249,4.000
0.3280,4.000
0.3311,4.000
0.3342,3.353
0.3373,3.333
0.3404,3.333
0.3435,3.937
0.3465,3.974
0.3496,4.000
0.3527,4.000
0.3558,4.000
0.3589,4.000
0.3620,4.000
0.3651,4.645
0.3682,4.667
0.3713,4.667
0.3744,4.667
0.3775,3.700
0.3806,3.667
0.3837,3.667
0.3868,3.667
0.3899,3.667
0.3930,3.667
0.3961,3.667
0.3991,3.667
0.4022,4.631
0.4053,4.667
0.4084,4.667
0.4115,4.667
0.4146,4.667
0.4177,4.667
0.4208,4.667
0.4239,4.667
0.4270,5.308
0.4301,5.333
0.4332,5.333
0.4363,5.333
0.4394,6.294
0.4425,6.333
0.4456,6.333
0.4487,6.333
0.4518,7.613
0.4548,7.667
0.4579,7.667
0.4610,7.967
0.4641,9.278
0.4672,10.601
0.4703,11.625
0.4734,13.306
0.4765,15.890
0.4796,17.370
0.4827,18.853
0.4858,21.231
0.4889,25.478
0.4920,26.564
0.4951,28.724
0.4982,31.378
0.5013,33.112
0.5044,34.601
0.5074,36.576
0.5105,37.446
0.5136,39.056
0.5167,39.271
0.5198,40.389
0.5229,40.468
0.5260,40.976
0.5291,41.497
0.5322,41.548
0.5353,41.980
0.5384,41.365
0.5415,39.430
0.5446,36.809
0.5477,36.349
0.5508,36.688
0.5539,35.465
0.5570,33.120
0.5600,30.783
0.5631,29.005
0.5662,28.412
0.5693,27.386
0.5724,26.384
0.5755,24.752
0.5786,23.718
0.5817,21.780
0.5848,20.719
0.5879,19.086
0.5910,19.000
0.5941,18.417
0.5972,17.455
0.6003,17.338
0.6034,17.067
0.6065,17.061
0.6096,17.450
0.6126,19.863
0.6157,20.000
0.6188,21.575
0.6219,21.883
0.6250,23.568
0.6281,24.611
0.6312,26.240
0.6343,26.333
0.6374,27.591
0.6405,27.815
0.6436,28.933
0.6467,30.257
0.6498,31.904
0.6529,33.388
0.6560,34.597
0.6591,36.087
0.6622,37.374
0.6652,37.538
0.6683,38.780
0.6714,39.304
0.6745,40.273
0.6776,40.531
0.6807,41.143
0.6838,41.157
0.6869,45.715
0.6900,42.587
0.6931,40.630
0.6962,40.612
0.6993,40.665
0.7024,38.785
0.7055,33.982
0.7086,30.232
0.7117,32.110
0.7148,31.189
0.7179,30.130
0.7209,29.077
0.7240,26.914
0.7271,25.626
0.7302,24.520
0.7333,23.194
0.7364,21.597
0.7395,21.292
0.7426,20.570
0.7457,20.466
0.7488,19.842
0.7519,19.588
0.7550,19.208
0.7581,19.012
0.7612,18.217
0.7643,18.446
0.7674,18.168
0.7705,18.527
0.7735,19.209
0.7766,20.032
0.7797,20.419
0.7828,20.769
0.7859,21.607
0.7890,22.986
0.7921,24.388
0.7952,26.948
0.7983,29.596
0.8014,30.838
0.8045,33.391
0.8076,33.934
0.8107,36.224
0.8138,36.998
0.8169,38.553
0.8200,39.592
0.8231,41.519
0.8261,43.774
0.8292,44.920
0.8323,45.000
0.8354,46.415
0.8385,46.502
0.8416,46.475
0.8447,46.449
0.8478,47.039
0.8509,47.063
0.8540,46.945
0.8571,46.902
0.8602,46.359
0.8633,45.407
0.8664,44.410
0.8695,43.279
0.8726,40.722
0.8757,39.436
0.8787,37.635
0.8818,36.379
0.8849,35.772
0.8880,35.054
0.8911,33.466
0.8942,31.626
0.8973,29.297
0.9004,27.876
0.9035,26.399
0.9066,25.714
0.9097,24.678
0.9128,24.232
0.9159,22.793
0.9190,22.361
0.9221,20.803
0.9252,20.667
0.9283,19.443
0.9313,19.333
0.9344,21.792
0.9375,22.297
0.9406,25.363
0.9437,28.067
0.9468,31.381
0.9499,34.789
0.9530,37.536
0.9561,38.746
0.9592,38.863
0.9623,41.023
0.9654,39.726
0.9685,42.434
0.9716,44.075
0.9747,43.910
0.9778,46.840
0.9809,46.635
0.9839,47.630
0.9870,48.583
0.9901,49.858
0.9932,51.051
0.9963,51.788
0.9994,51.381
1.0025,50.463
1.0056,49.968
1.0087,52.076
1.0118,50.492
1.0149,49.528
1.0180,49.225
1.0211,50.479
1.0242,51.491
1.0273,50.748
1.0304,50.489
1.0335,49.799
1.0366,48.284
1.0396,46.498
1.0427,46.252
1.0458,45.382
1.0489,43.484
1.0520,38.810
1.0551,35.292
1.0582,32.277
1.0613,30.710
1.0644,28.428
1.0675,27.001
1.0706,25.646
1.0737,25.243
1.0768,24.838
1.0799,24.636
1.0830,24.802
1.0861,24.773
1.0892,24.094
1.0922,24.301
1.0953,24.333
1.0984,24.703
1.1015,25.574
1.1046,25.967
1.1077,26.000
1.1108,27.196
1.1139,28.836
1.1170,30.501
1.1201,32.767
1.1232,34.200
1.1263,36.133
1.1294,37.923
