Distance_(unit),Gray_Value
0.00000,4.000
0.00309,3.355
0.00619,2.730
0.00928,2.667
0.01238,2.667
0.01547,2.667
0.01857,2.667
0.02166,2.667
0.02475,2.667
0.02785,2.667
0.03094,3.330
0.03404,3.333
0.03713,3.333
0.04022,3.995
0.04332,4.000
0.04641,4.000
0.04951,4.992
0.05260,5.000
0.05570,5.000
0.05879,5.990
0.06188,5.010
0.06498,5.000
0.06807,5.000
0.07117,5.988
0.07426,6.000
0.07735,6.000
0.08045,6.000
0.08354,6.000
0.08664,6.000
0.08973,6.000
0.09283,6.000
0.09592,6.000
0.09901,6.000
0.10211,5.017
0.10520,5.000
0.10830,5.000
0.11139,4.019
0.11448,4.000
0.11758,4.000
0.12067,4.000
0.12377,4.000
0.12686,4.000
0.12996,4.000
0.13305,4.000
0.13614,4.000
0.13924,4.000
0.14233,3.349
0.14543,3.333
0.14852,3.333
0.15161,3.333
0.15471,3.983
0.15780,4.000
0.16090,4.973
0.16399,5.000
0.16709,6.296
0.17018,6.333
0.17327,6.572
0.17637,7.310
0.17946,7.657
0.18256,7.667
0.18565,7.667
0.18875,7.667
0.19184,7.344
0.19493,7.333
0.19803,6.367
0.20112,6.333
0.20422,5.046
0.20731,5.000
0.21040,5.000
0.21350,5.000
0.21659,5.000
0.21969,5.000
0.22278,5.000
0.22588,5.000
0.22897,4.039
0.23206,4.000
0.23516,4.000
0.23825,4.000
0.24135,2.721
0.24444,2.667
0.24753,2.667
0.25063,2.667
0.25372,2.667
0.25682,3.751
0.25991,4.108
0.26301,4.324
0.26610,4.333
0.26919,4.333
0.27229,5.287
0.27538,5.333
0.27848,5.333
0.28157,5.333
0.28466,7.555
0.28776,7.667
0.29085,7.667
0.29395,7.667
0.29704,8.300
0.30014,8.333
0.30323,8.333
0.30632,8.333
0.30942,9.281
0.31251,8.702
0.31561,8.351
0.31870,9.280
0.32179,8.703
0.32489,7.721
0.32798,7.667
0.33108,7.999
0.33417,6.430
0.33727,6.333
0.34036,5.077
0.34345,5.000
0.34655,5.000
0.34964,4.059
0.35274,4.000
0.35583,4.000
0.35893,2.747
0.36202,2.667
0.36511,2.667
0.36821,3.605
0.37130,3.979
0.37440,4.000
0.37749,4.312
0.38058,4.333
0.38368,5.269
0.38677,5.333
0.38987,6.579
0.39296,6.667
0.39606,7.600
0.39915,7.667
0.40224,8.599
0.40534,9.288
0.40843,9.333
0.41153,9.644
0.41462,10.287
0.41771,10.333
0.42081,10.333
0.42390,10.333
0.42700,10.333
0.43009,10.114
0.43319,9.388
0.43628,9.333
0.43937,8.407
0.44247,8.037
0.44556,7.691
0.44866,6.742
0.45175,6.536
0.45484,6.535
0.45794,4.812
0.46103,4.667
0.46413,4.667
0.46722,4.667
0.47032,4.667
0.47341,4.667
0.47650,4.667
0.47960,4.535
0.48269,4.011
0.48579,3.973
0.48888,4.610
0.49197,4.667
0.49507,5.889
0.49816,6.000
0.50126,6.305
0.50435,6.943
0.50745,9.134
0.51054,9.638
0.51363,10.276
0.51673,11.246
0.51982,11.878
0.52292,12.604
0.52601,12.357
0.52911,12.358
0.53220,12.389
0.53529,12.948
0.53839,12.697
0.54148,12.667
0.54458,11.456
0.54767,10.921
0.55076,10.387
0.55386,9.427
0.55695,8.403
0.56005,7.428
0.56314,7.333
0.56624,6.349
0.56933,5.954
0.57242,4.789
0.57552,4.667
0.57861,4.667
0.58171,3.765
0.58480,3.667
0.58789,4.525
0.59099,4.665
0.59408,4.667
0.59718,4.667
0.60027,4.667
0.60337,4.667
0.60646,6.976
0.60955,7.517
0.61265,8.012
0.61574,8.535
0.61884,9.254
0.62193,9.898
0.62502,10.596
0.62812,11.263
0.63121,13.120
0.63431,13.333
0.63740,13.198
0.64050,13.316
0.64359,13.333
0.64668,13.333
0.64978,13.333
0.65287,13.333
0.65597,13.333
0.65906,13.043
0.66215,12.412
0.66525,11.446
0.66834,11.333
0.67144,10.447
0.67453,9.642
0.67763,8.770
0.68072,6.665
0.68381,5.749
0.68691,5.372
0.69000,4.737
0.69310,4.667
0.69619,4.667
0.69929,5.255
0.70238,5.300
0.70547,5.034
0.70857,5.000
0.71166,5.233
0.71476,5.324
0.71785,5.762
0.72094,6.561
0.72404,7.544
0.72713,8.544
0.73023,11.005
0.73332,12.626
0.73642,13.111
0.73951,14.187
0.74260,15.208
0.74570,15.494
0.74879,15.649
0.75189,15.845
0.75498,17.730
0.75807,17.128
0.76117,17.000
0.76426,17.000
0.76736,16.933
0.77045,17.399
0.77355,17.596
0.77664,17.371
0.77973,13.829
0.78283,12.152
0.78592,11.107
0.78902,9.840
0.79211,9.400
0.79520,8.565
0.79830,8.428
0.80139,7.772
0.80449,6.514
0.80758,6.045
0.81068,6.000
0.81377,4.850
0.81686,4.667
0.81996,4.667
0.82305,4.571
0.82615,4.650
0.82924,4.667
0.83233,5.977
0.83543,7.326
0.83852,8.648
0.84162,10.977
0.84471,12.604
0.84781,13.829
0.85090,14.571
0.85399,17.150
0.85709,18.790
0.86018,21.391
0.86328,22.112
0.86637,20.893
0.86946,20.209
0.87256,20.110
0.87565,19.843
0.87875,19.682
0.88184,19.890
0.88494,20.506
0.88803,20.665
0.89112,20.667
0.89422,20.132
0.89731,19.936
0.90041,18.635
0.90350,15.523
0.90660,13.690
0.90969,12.568
0.91278,11.073
0.91588,9.081
0.91897,7.446
0.92207,5.722
0.92516,4.997
0.92825,4.708
0.93135,4.667
0.93444,4.667
0.93754,5.093
0.94063,5.583
0.94373,5.667
0.94682,5.947
0.94991,6.280
0.95301,7.452
0.95610,8.594
0.95920,10.358
0.96229,13.459
0.96538,16.511
0.96848,18.673
0.97157,21.229
0.97467,22.781
0.97776,24.113
0.98086,23.499
0.98395,23.333
0.98704,24.445
0.99014,24.688
0.99323,24.431
0.99633,24.898
0.99942,25.554
1.00251,26.372
1.00561,26.484
1.00870,25.564
1.01180,23.472
1.01489,21.628
1.01799,20.038
1.02108,17.573
1.02417,14.847
1.02727,11.203
1.03036,9.815
1.03346,7.593
1.03655,5.929
1.03964,4.842
1.04274,4.667
1.04583,4.667
1.04893,4.667
1.05202,6.491
1.05512,6.981
1.05821,7.548
1.06130,8.692
1.06440,10.901
1.06749,13.520
1.07059,15.912
1.07368,17.698
1.07678,20.182
1.07987,21.230
1.08296,22.162
1.08606,23.695
1.08915,25.333
1.09225,26.422
1.09534,27.390
1.09843,28.187
1.10153,29.544
1.10462,29.751
1.10772,28.772
1.11081,28.380
1.11391,27.748
1.11700,26.833
1.12009,26.398
1.12319,25.995
1.12628,25.017
1.12938,24.272
1.13247,21.855
1.13556,17.963
1.13866,13.272
1.14175,9.793
1.14485,8.819
1.14794,8.683
1.15104,7.861
1.15413,7.314
1.15722,6.242
1.16032,6.201
1.16341,6.260
1.16651,6.756
1.16960,8.008
1.17269,8.292
1.17579,9.346
1.17888,9.625
1.18198,10.196
1.18507,11.133
1.18817,12.657
1.19126,14.843
1.19435,17.381
1.19745,19.470
1.20054,22.095
1.20364,24.526
1.20673,26.826
1.20982,29.391
1.21292,31.847
1.21601,33.208
1.21911,33.195
1.22220,32.673
1.22530,31.344
1.22839,32.089
1.23148,33.766
1.23458,33.905
1.23767,32.199
1.24077,28.594
1.24386,23.899
1.24696,20.761
1.25005,16.796
1.25314,14.469
1.25624,12.543
1.25933,10.726
1.26243,8.974
1.26552,7.867
1.26861,7.223
1.27171,7.146
1.27480,7.312
1.27790,7.338
1.28099,7.072
1.28409,6.999
1.28718,8.032
1.29027,9.060
1.29337,9.833
1.29646,11.335
1.29956,15.404
1.30265,18.962
1.30574,22.006
1.30884,25.783
1.31193,29.262
1.31503,31.461
1.31812,33.014
1.32122,33.592
1.32431,35.737
1.32740,37.976
1.33050,36.974
1.33359,33.788
1.33669,33.336
1.33978,35.282
1.34287,36.173
1.34597,34.655
1.34906,33.097
1.35216,32.464
1.35525,32.390
1.35835,30.943
1.36144,27.956
1.36453,24.180
1.36763,19.950
1.37072,16.654
1.37382,13.364
1.37691,11.600
1.38000,10.300
1.38310,9.747
1.38619,9.423
1.38929,9.321
1.39238,9.096
1.39548,8.600
1.39857,8.372
1.40166,9.713
1.40476,11.297
1.40785,12.807
1.41095,15.319
1.41404,18.607
1.41714,22.941
1.42023,26.703
1.42332,31.851
1.42642,33.800
1.42951,35.486
1.43261,36.900
1.43570,37.333
1.43879,39.942
1.44189,43.053
1.44498,42.980
1.44808,41.995
1.45117,43.831
1.45427,46.190
1.45736,46.186
1.46045,45.908
1.46355,46.233
1.46664,46.298
1.46974,45.070
1.47283,43.180
1.47592,39.786
1.47902,35.899
1.48211,30.774
1.48521,24.429
1.48830,20.156
1.49140,17.826
1.49449,14.558
1.49758,12.004
1.50068,11.366
1.50377,10.203
1.50687,9.710
1.50996,8.993
1.51305,8.942
1.51615,9.584
1.51924,10.443
1.52234,12.896
1.52543,15.731
1.52853,19.069
1.53162,22.111
1.53471,24.242
1.53781,26.596
1.54090,29.439
1.54400,32.833
1.54709,36.897
1.55018,42.237
1.55328,48.263
1.55637,52.591
1.55947,53.300
1.56256,52.243
1.56566,51.167
1.56875,50.574
1.57184,54.518
1.57494,54.294
1.57803,54.381
1.58113,56.637
1.58422,58.047
1.58732,55.504
1.59041,52.406
1.59350,49.564
1.59660,40.997
1.59969,34.726
1.60279,28.478
1.60588,22.259
1.60897,17.425
1.61207,13.964
1.61516,12.317
1.61826,11.625
1.62135,10.879
1.62445,11.151
1.62754,11.807
1.63063,12.232
1.63373,12.827
1.63682,14.940
1.63992,18.477
1.64301,22.121
1.64610,29.530
1.64920,35.271
1.65229,44.993
1.65539,52.174
1.65848,50.991
1.66158,49.348
1.66467,50.079
1.66776,49.069
1.67086,49.652
1.67395,51.317
1.67705,53.195
1.68014,56.527
1.68323,59.365
1.68633,59.194
1.68942,59.606
1.69252,61.750
1.69561,62.023
1.69871,55.857
1.70180,49.978
1.70489,47.029
1.70799,44.923
1.71108,41.574
1.71418,37.429
1.71727,34.452
1.72036,32.708
1.72346,28.046
1.72655,23.137
1.72965,19.828
1.73274,17.821
1.73584,15.684
1.73893,13.822
1.74202,13.333
1.74512,13.176
1.74821,14.439
1.75131,16.879
1.75440,20.662
1.75750,24.559
1.76059,28.591
1.76368,33.638
1.76678,39.055
1.76987,43.724
1.77297,46.629
1.77606,52.894
1.77915,58.422
1.78225,63.399
1.78534,68.505
1.78844,70.752
1.79153,72.067
1.79463,70.435
