Distance_(unit),Gray_Value
0.0000,2.667
0.0031,2.667
0.0062,2.667
0.0093,2.667
0.0124,2.667
0.0155,2.667
0.0186,2.667
0.0217,2.667
0.0248,2.667
0.0278,2.667
0.0309,2.667
0.0340,2.667
0.0371,2.667
0.0402,2.667
0.0433,2.667
0.0464,2.667
0.0495,2.667
0.0526,2.667
0.0557,2.667
0.0588,2.667
0.0619,2.667
0.0650,2.667
0.0681,2.667
0.0712,2.667
0.0743,2.667
0.0774,2.667
0.0804,2.667
0.0835,2.667
0.0866,2.667
0.0897,2.667
0.0928,2.667
0.0959,2.667
0.0990,2.667
0.1021,2.667
0.1052,2.667
0.1083,2.667
0.1114,2.667
0.1145,2.667
0.1176,2.667
0.1207,2.667
0.1238,2.667
0.1269,2.667
0.1300,2.667
0.1330,2.667
0.1361,2.667
0.1392,2.667
0.1423,2.667
0.1454,2.667
0.1485,2.667
0.1516,2.667
0.1547,2.667
0.1578,2.667
0.1609,2.667
0.1640,2.667
0.1671,2.667
0.1702,2.667
0.1733,2.667
0.1764,2.667
0.1795,2.667
0.1826,2.667
0.1857,2.667
0.1887,2.667
0.1918,2.667
0.1949,2.667
0.1980,2.667
0.2011,2.667
0.2042,2.667
0.2073,2.667
0.2104,2.667
0.2135,2.667
0.2166,2.667
0.2197,2.667
0.2228,2.667
0.2259,2.667
0.2290,2.667
0.2321,2.667
0.2352,2.667
0.2383,2.667
0.2413,2.667
0.2444,2.667
0.2475,2.667
0.2506,2.667
0.2537,2.667
0.2568,2.667
0.2599,2.667
0.2630,2.667
0.2661,2.667
0.2692,2.667
0.2723,2.667
0.2754,2.667
0.2785,2.667
0.2816,2.667
0.2847,2.667
0.2878,2.667
0.2909,2.667
0.2939,2.667
0.2970,2.667
0.3001,2.667
0.3032,2.667
0.3063,2.667
0.3094,2.667
0.3125,2.667
0.3156,2.667
0.3187,2.667
0.3218,2.667
0.3249,2.667
0.3280,2.667
0.3311,2.667
0.3342,2.667
0.3373,2.667
0.3404,2.667
0.3435,2.667
0.3465,2.667
0.3496,2.667
0.3527,2.667
0.3558,2.667
0.3589,2.667
0.3620,2.667
0.3651,2.667
0.3682,2.667
0.3713,2.667
0.3744,2.667
0.3775,2.667
0.3806,2.667
0.3837,2.667
0.3868,2.667
0.3899,2.667
0.3930,2.667
0.3961,2.667
0.3991,2.667
0.4022,2.667
0.4053,2.667
0.4084,2.667
0.4115,2.667
0.4146,3.951
0.4177,4.000
0.4208,4.000
0.4239,4.000
0.4270,4.000
0.4301,4.000
0.4332,4.320
0.4363,4.333
0.4394,4.333
0.4425,4.333
0.4456,4.333
0.4487,4.333
0.4518,4.333
0.4548,4.900
0.4579,4.942
0.4610,4.998
0.4641,5.000
0.4672,5.000
0.4703,5.000
0.4734,5.000
0.4765,5.000
0.4796,5.000
0.4827,5.000
0.4858,5.000
0.4889,5.000
0.4920,5.000
0.4951,5.000
0.4982,5.000
0.5013,5.000
0.5044,5.000
0.5074,5.000
0.5105,5.000
0.5136,5.318
0.5167,5.333
0.5198,5.755
0.5229,6.309
0.5260,6.333
0.5291,6.333
0.5322,7.172
0.5353,7.646
0.5384,7.667
0.5415,7.903
0.5446,9.264
0.5477,10.081
0.5508,10.510
0.5539,11.610
0.5570,11.983
0.5600,12.950
0.5631,13.950
0.5662,14.950
0.5693,15.949
0.5724,16.000
0.5755,17.581
0.5786,18.615
0.5817,19.931
0.5848,20.000
0.5879,22.512
0.5910,22.665
0.5941,22.667
0.5972,22.667
0.6003,22.667
0.6034,22.667
0.6065,21.520
0.6096,21.223
0.6126,18.807
0.6157,18.502
0.6188,17.081
0.6219,16.055
0.6250,15.056
0.6281,14.371
0.6312,12.760
0.6343,12.667
0.6374,10.466
0.6405,10.036
0.6436,8.743
0.6467,8.667
0.6498,8.667
0.6529,8.303
0.6560,8.015
0.6591,7.802
0.6622,9.242
0.6652,9.333
0.6683,9.333
0.6714,10.274
0.6745,10.333
0.6776,11.586
0.6807,11.980
0.6838,12.626
0.6869,13.918
0.6900,14.313
0.6931,14.333
0.6962,14.333
0.6993,14.333
0.7024,14.335
0.7055,14.969
0.7086,15.018
0.7117,15.863
0.7148,15.893
0.7179,15.866
0.7209,15.054
0.7240,15.000
0.7271,15.000
0.7302,14.526
0.7333,14.511
0.7364,14.528
0.7395,14.546
0.7426,15.583
0.7457,16.562
0.7488,16.602
0.7519,16.039
0.7550,15.488
0.7581,15.478
0.7612,13.635
0.7643,13.179
0.7674,13.148
0.7705,13.139
0.7735,12.320
0.7766,12.243
0.7797,12.016
0.7828,12.000
0.7859,11.602
0.7890,11.741
0.7921,11.744
0.7952,12.108
0.7983,12.119
0.8014,12.196
0.8045,12.207
0.8076,12.166
0.8107,13.932
0.8138,14.931
0.8169,15.019
0.8200,15.927
0.8231,16.927
0.8261,17.926
0.8292,19.544
0.8323,19.667
0.8354,23.241
0.8385,23.759
0.8416,23.804
0.8447,23.782
0.8478,23.756
0.8509,24.179
0.8540,24.171
0.8571,23.711
0.8602,22.727
0.8633,21.125
0.8664,19.953
0.8695,18.934
0.8726,17.198
0.8757,15.624
0.8787,14.424
0.8818,14.333
0.8849,13.240
0.8880,12.415
0.8911,11.647
0.8942,11.463
0.8973,11.444
0.9004,10.703
0.9035,10.356
0.9066,10.333
0.9097,10.946
0.9128,11.796
0.9159,11.631
0.9190,11.663
0.9221,12.585
0.9252,12.696
0.9283,12.974
0.9313,13.344
0.9344,14.858
0.9375,16.528
0.9406,18.171
0.9437,20.103
0.9468,21.824
0.9499,24.026
0.9530,25.236
0.9561,25.587
0.9592,26.821
0.9623,27.705
0.9654,28.210
0.9685,27.763
0.9716,27.606
0.9747,27.249
0.9778,27.502
0.9809,27.144
0.9839,26.700
0.9870,26.667
0.9901,25.755
0.9932,24.607
0.9963,23.420
0.9994,22.509
1.0025,22.126
1.0056,20.736
1.0087,19.186
1.0118,18.825
1.0149,18.472
1.0180,18.434
1.0211,17.463
1.0242,17.030
1.0273,17.000
1.0304,16.270
1.0335,14.805
1.0366,14.364
1.0396,12.927
1.0427,12.757
1.0458,12.370
1.0489,12.333
1.0520,12.333
1.0551,12.333
1.0582,13.541
1.0613,13.749
1.0644,15.216
1.0675,16.845
1.0706,18.508
1.0737,19.873
1.0768,21.507
1.0799,23.173
1.0830,25.891
1.0861,24.472
1.0892,28.866
1.0922,31.740
1.0953,28.693
1.0984,29.236
1.1015,30.607
1.1046,26.374
1.1077,25.687
1.1108,25.224
1.1139,24.414
1.1170,23.843
1.1201,22.776
1.1232,22.308
1.1263,21.725
1.1294,21.667
