Distance_(mm),Gray_Value
0.0000,33.763
0.0175,33.812
0.0350,33.684
0.0526,33.649
0.0701,33.691
0.0876,33.709
0.1051,33.716
0.1226,33.744
0.1402,34.127
0.1577,34.281
0.1752,34.578
0.1927,34.864
0.2102,35.377
0.2278,35.680
0.2453,35.939
0.2628,36.051
0.2803,35.655
0.2978,35.512
0.3154,35.125
0.3329,34.980
0.3504,34.492
0.3679,34.185
0.3854,33.911
0.4030,33.802
0.4205,34.004
0.4380,34.000
0.4555,34.009
0.4730,34.058
0.4905,34.021
0.5081,33.979
0.5256,33.986
0.5431,33.999
0.5606,34.133
0.5781,34.123
0.5957,34.127
0.6132,34.131
0.6307,34.134
0.6482,34.138
0.6657,34.142
0.6833,34.197
0.7008,34.380
0.7183,34.227
0.7358,34.113
0.7533,34.000
0.7709,33.896
0.7884,33.869
0.8059,33.942
0.8234,33.971
0.8409,33.945
0.8585,33.937
0.8760,33.807
0.8935,33.736
0.9110,33.671
0.9285,33.785
0.9461,33.899
0.9636,33.999
0.9811,32.975
0.9986,32.939
1.0161,33.165
1.0337,33.301
1.0512,33.618
1.0687,33.674
1.0862,34.009
1.1037,34.008
1.1213,34.298
1.1388,34.289
1.1563,34.204
1.1738,34.094
1.1913,33.923
1.2089,33.802
1.2264,33.631
1.2439,33.537
1.2614,33.844
1.2789,33.915
1.2965,33.955
1.3140,34.144
1.3315,34.157
1.3490,34.345
1.3665,34.389
1.3840,34.483
1.4016,34.776
1.4191,34.749
1.4366,34.815
1.4541,34.741
1.4716,34.629
1.4892,34.480
1.5067,34.400
1.5242,34.331
1.5417,34.790
1.5592,34.818
1.5768,34.746
1.5943,34.638
1.6118,34.585
1.6293,34.587
1.6468,34.579
1.6644,34.517
1.6819,35.242
1.6994,35.264
1.7169,35.285
1.7344,35.290
1.7520,35.320
1.7695,35.395
1.7870,35.432
1.8045,35.474
1.8220,36.625
1.8396,36.703
1.8571,37.041
1.8746,37.294
1.8921,37.698
1.9096,37.926
1.9272,38.424
1.9447,38.613
1.9622,38.843
1.9797,38.685
1.9972,38.470
2.0148,38.502
2.0323,38.628
2.0498,39.060
2.0673,39.407
2.0848,39.720
2.1024,40.069
2.1199,39.908
2.1374,39.843
2.1549,39.656
2.1724,39.540
2.1900,39.442
2.2075,39.513
2.2250,39.478
2.2425,39.095
2.2600,39.462
2.2775,39.494
2.2951,39.552
2.3126,39.928
2.3301,40.072
2.3476,40.130
2.3651,40.428
2.3827,39.998
2.4002,39.953
2.4177,39.962
2.4352,40.138
2.4527,40.755
2.4703,41.619
2.4878,42.362
2.5053,42.782
2.5228,41.838
2.5403,41.497
2.5579,41.131
2.5754,40.894
2.5929,40.990
2.6104,40.779
2.6279,40.416
2.6455,39.930
2.6630,40.685
2.6805,40.863
2.6980,40.569
2.7155,40.424
2.7331,40.028
2.7506,39.657
2.7681,39.634
2.7856,39.613
2.8031,39.378
2.8207,39.165
2.8382,38.970
2.8557,38.717
2.8732,39.191
2.8907,39.377
2.9083,40.074
2.9258,40.389
2.9433,41.198
2.9608,40.823
2.9783,40.512
2.9959,40.160
3.0134,40.109
3.0309,39.950
3.0484,39.519
3.0659,39.024
3.0835,39.252
3.1010,39.533
3.1185,39.569
3.1360,39.250
3.1535,38.690
3.1710,38.365
3.1886,38.318
3.2061,38.465
3.2236,38.200
3.2411,37.861
3.2586,38.026
3.2762,38.609
3.2937,39.104
3.3112,39.026
3.3287,39.554
3.3462,40.208
3.3638,41.088
3.3813,41.213
3.3988,41.406
3.4163,41.539
3.4338,41.630
3.4514,41.446
3.4689,41.145
3.4864,40.855
3.5039,40.901
3.5214,40.825
3.5390,40.682
3.5565,40.869
3.5740,41.148
3.5915,41.880
3.6090,42.150
3.6266,42.823
3.6441,43.318
3.6616,43.027
3.6791,43.000
3.6966,42.997
3.7142,42.703
3.7317,42.802
3.7492,42.919
3.7667,43.016
3.7842,44.047
3.8018,44.145
3.8193,44.778
3.8368,44.694
3.8543,45.380
3.8718,44.995
3.8894,45.426
3.9069,45.235
3.9244,45.642
3.9419,45.310
3.9594,45.496
3.9770,45.015
3.9945,45.643
4.0120,45.573
4.0295,46.126
4.0470,46.295
4.0645,47.977
4.0821,48.027
4.0996,47.605
4.1171,47.282
4.1346,46.782
4.1521,46.246
4.1697,45.649
4.1872,45.439
4.2047,44.744
4.2222,44.786
4.2397,44.770
4.2573,44.813
4.2748,44.685
4.2923,44.611
4.3098,44.605
4.3273,44.586
4.3449,45.758
4.3624,46.118
4.3799,46.285
4.3974,46.370
4.4149,46.260
4.4325,45.679
4.4500,45.057
4.4675,44.686
4.4850,43.739
4.5025,43.786
4.5201,43.767
4.5376,43.723
4.5551,43.950
4.5726,44.021
4.5901,44.086
4.6077,44.050
4.6252,43.261
4.6427,42.508
4.6602,42.012
4.6777,41.879
4.6953,42.199
4.7128,42.568
4.7303,42.564
4.7478,42.509
4.7653,42.835
4.7829,43.142
4.8004,43.912
4.8179,44.770
4.8354,45.501
4.8529,45.673
4.8705,45.812
4.8880,46.068
4.9055,47.207
4.9230,47.773
4.9405,49.366
4.9580,49.752
4.9756,49.647
4.9931,47.859
5.0106,47.421
5.0281,47.260
5.0456,47.077
5.0632,46.832
5.0807,47.047
5.0982,46.998
5.1157,48.154
5.1332,48.491
5.1508,49.521
5.1683,49.806
5.1858,48.849
5.2033,48.117
5.2208,47.012
5.2384,45.858
5.2559,45.038
5.2734,45.053
5.2909,45.287
5.3084,45.497
5.3260,44.995
5.3435,44.605
5.3610,44.634
5.3785,43.963
5.3960,44.313
5.4136,46.647
5.4311,51.474
5.4486,52.435
5.4661,52.753
5.4836,51.544
5.5012,51.292
5.5187,49.650
5.5362,48.217
5.5537,49.006
5.5712,50.726
5.5888,52.305
5.6063,53.740
5.6238,54.262
5.6413,56.147
5.6588,57.452
5.6764,56.501
5.6939,55.661
5.7114,55.733
5.7289,56.052
5.7464,56.656
5.7640,56.530
5.7815,56.902
5.7990,57.688
5.8165,58.744
5.8340,59.292
5.8516,59.497
5.8691,59.409
5.8866,59.647
5.9041,59.652
5.9216,59.758
5.9391,59.935
5.9567,58.045
5.9742,57.786
5.9917,57.159
6.0092,56.803
6.0267,55.994
6.0443,55.460
6.0618,54.394
6.0793,53.425
6.0968,52.275
6.1143,51.218
6.1319,50.414
6.1494,50.130
6.1669,49.839
6.1844,49.747
6.2019,49.801
6.2195,50.102
6.2370,50.224
6.2545,49.905
6.2720,49.203
6.2895,48.703
6.3071,48.674
6.3246,49.426
6.3421,51.103
6.3596,52.816
6.3771,53.505
6.3947,52.924
6.4122,51.368
6.4297,49.991
6.4472,49.728
6.4647,48.568
6.4823,47.575
6.4998,47.863
6.5173,48.450
6.5348,48.876
6.5523,49.286
6.5699,49.988
6.5874,50.484
6.6049,51.011
6.6224,51.600
6.6399,51.985
6.6575,52.002
6.6750,52.215
6.6925,52.505
6.7100,52.916
6.7275,53.000
6.7451,52.209
6.7626,51.667
6.7801,51.628
6.7976,50.903
6.8151,50.034
6.8326,49.544
6.8502,50.102
6.8677,51.581
6.8852,52.764
6.9027,54.560
6.9202,56.059
6.9378,57.210
6.9553,57.622
6.9728,57.939
6.9903,58.043
7.0078,58.099
7.0254,57.399
7.0429,57.354
7.0604,57.993
7.0779,59.656
7.0954,63.041
7.1130,65.528
7.1305,65.961
7.1480,64.040
7.1655,62.820
7.1830,62.121
7.2006,61.910
7.2181,61.438
7.2356,61.141
7.2531,61.551
7.2706,62.239
7.2882,63.214
7.3057,63.395
7.3232,64.232
7.3407,65.396
7.3582,66.726
7.3758,68.036
7.3933,70.043
7.4108,72.113
7.4283,73.197
7.4458,71.775
7.4634,71.878
7.4809,74.194
7.4984,74.654
7.5159,73.734
7.5334,74.808
7.5510,77.550
7.5685,76.484
7.5860,74.584
7.6035,71.460
7.6210,69.632
7.6386,70.315
7.6561,72.273
7.6736,73.632
7.6911,74.168
7.7086,74.085
7.7261,74.340
7.7437,75.403
7.7612,74.230
7.7787,73.566
7.7962,75.996
7.8137,77.138
7.8313,74.771
7.8488,71.296
7.8663,76.510
7.8838,88.888
7.9013,90.889
7.9189,78.222
7.9364,70.618
7.9539,68.867
7.9714,69.589
7.9889,68.270
8.0065,67.340
8.0240,70.613
8.0415,76.572
8.0590,78.219
8.0765,72.730
8.0941,65.100
8.1116,60.822
8.1291,59.784
8.1466,61.764
8.1641,64.963
8.1817,67.002
8.1992,69.607
8.2167,70.819
8.2342,70.363
8.2517,68.378
8.2693,66.173
8.2868,63.892
8.3043,66.115
8.3218,71.593
8.3393,74.048
8.3569,71.211
8.3744,70.833
8.3919,70.150
8.4094,64.210
8.4269,61.148
8.4445,60.753
8.4620,62.198
8.4795,60.794
8.4970,60.476
8.5145,60.907
8.5321,61.308
8.5496,60.812
8.5671,60.541
8.5846,60.666
8.6021,62.175
8.6196,63.540
8.6372,64.579
8.6547,66.134
8.6722,69.881
8.6897,69.709
8.7072,67.090
8.7248,65.409
8.7423,65.234
8.7598,65.425
8.7773,66.361
8.7948,67.612
8.8124,67.967
8.8299,68.126
8.8474,68.853
8.8649,69.541
8.8824,71.581
8.9000,73.555
8.9175,73.660
8.9350,75.680
8.9525,78.188
8.9700,77.194
8.9876,76.379
9.0051,76.485
9.0226,77.987
9.0401,79.658
9.0576,79.704
9.0752,79.593
9.0927,80.890
9.1102,80.214
9.1277,82.199
9.1452,87.925
9.1628,96.294
9.1803,97.936
9.1978,96.285
9.2153,94.091
9.2328,97.596
9.2504,95.880
9.2679,91.715
9.2854,91.507
9.3029,93.829
9.3204,92.274
9.3380,88.177
9.3555,85.946
9.3730,85.353
9.3905,84.320
9.4080,81.822
9.4256,87.010
9.4431,92.771
9.4606,90.536
9.4781,82.036
9.4956,76.588
9.5131,75.081
9.5307,71.110
9.5482,76.194
9.5657,90.505
9.5832,94.182
9.6007,88.109
9.6183,80.067
9.6358,70.798
9.6533,66.035
9.6708,63.119
9.6883,64.869
9.7059,74.146
9.7234,87.449
9.7409,87.970
9.7584,82.458
9.7759,71.826
9.7935,69.967
9.8110,72.225
9.8285,74.532
9.8460,70.613
9.8635,67.532
9.8811,66.402
9.8986,67.902
9.9161,69.269
9.9336,69.330
9.9511,67.231
9.9687,67.512
9.9862,69.879
10.0037,70.329
10.0212,66.370
10.0387,64.646
10.0563,63.357
10.0738,63.803
10.0913,65.560
10.1088,67.862
10.1263,73.989
10.1439,80.193
10.1614,79.301
10.1789,73.434
10.1964,70.683
10.2139,71.824
10.2315,71.919
10.2490,73.082
10.2665,72.381
10.2840,72.303
10.3015,74.525
10.3191,76.813
10.3366,75.860
10.3541,76.865
10.3716,75.266
10.3891,75.537
10.4066,76.918
10.4242,79.169
10.4417,81.523
10.4592,81.430
10.4767,81.297
10.4942,85.068
10.5118,87.118
10.5293,89.530
10.5468,89.291
10.5643,92.884
10.5818,94.672
10.5994,95.822
10.6169,99.961
10.6344,101.657
10.6519,97.008
10.6694,93.427
10.6870,90.137
10.7045,91.216
10.7220,92.673
10.7395,95.216
10.7570,101.178
10.7746,114.844
10.7921,118.677
10.8096,113.032
10.8271,103.332
10.8446,102.008
10.8622,102.666
10.8797,101.546
10.8972,102.429
10.9147,105.138
10.9322,104.410
10.9498,108.506
10.9673,115.388
10.9848,120.165
11.0023,120.117
11.0198,117.553
11.0374,116.825
11.0549,120.250
11.0724,122.297
11.0899,119.732
11.1074,114.362
11.1250,114.043
11.1425,115.051
