Distance_(mm),Gray_Value
0.0000,29.329
0.0175,29.314
0.0350,29.080
0.0526,28.891
0.0701,28.677
0.0876,28.409
0.1051,28.139
0.1226,28.149
0.1402,28.128
0.1577,28.527
0.1752,29.130
0.1927,29.865
0.2102,30.282
0.2278,30.360
0.2453,30.255
0.2628,30.269
0.2803,30.993
0.2978,30.680
0.3154,30.082
0.3329,29.410
0.3504,28.744
0.3679,28.356
0.3854,28.121
0.4030,28.053
0.4205,27.748
0.4380,28.136
0.4555,28.620
0.4730,28.884
0.4905,28.947
0.5081,29.035
0.5256,29.238
0.5431,29.414
0.5606,29.298
0.5781,29.388
0.5957,29.437
0.6132,29.275
0.6307,29.002
0.6482,28.975
0.6657,29.012
0.6833,29.218
0.7008,30.070
0.7183,30.479
0.7358,30.863
0.7533,31.023
0.7709,30.892
0.7884,30.782
0.8059,30.703
0.8234,30.661
0.8409,31.137
0.8585,31.019
0.8760,30.668
0.8935,30.301
0.9110,29.976
0.9285,29.600
0.9461,29.444
0.9636,29.298
0.9811,28.848
0.9986,28.811
1.0161,28.746
1.0337,28.752
1.0512,28.757
1.0687,28.864
1.0862,29.017
1.1037,29.079
1.1213,29.077
1.1388,29.205
1.1563,29.365
1.1738,29.722
1.1913,29.993
1.2089,30.306
1.2264,30.519
1.2439,30.781
1.2614,31.664
1.2789,31.607
1.2965,31.524
1.3140,31.435
1.3315,31.600
1.3490,31.535
1.3665,31.458
1.3840,31.391
1.4016,30.816
1.4191,30.839
1.4366,30.825
1.4541,30.981
1.4716,31.138
1.4892,31.217
1.5067,31.323
1.5242,31.599
1.5417,32.690
1.5592,33.158
1.5768,33.444
1.5943,33.851
1.6118,33.919
1.6293,34.253
1.6468,34.634
1.6644,34.979
1.6819,35.711
1.6994,35.872
1.7169,35.762
1.7344,35.786
1.7520,36.527
1.7695,37.531
1.7870,38.419
1.8045,38.563
1.8220,37.443
1.8396,36.773
1.8571,36.390
1.8746,36.305
1.8921,36.496
1.9096,36.509
1.9272,36.581
1.9447,36.741
1.9622,36.266
1.9797,36.175
1.9972,36.341
2.0148,36.126
2.0323,35.299
2.0498,34.515
2.0673,34.274
2.0848,34.040
2.1024,34.645
2.1199,34.962
2.1374,35.260
2.1549,35.237
2.1724,34.904
2.1900,34.559
2.2075,34.491
2.2250,34.491
2.2425,34.126
2.2600,34.882
2.2775,35.917
2.2951,36.499
2.3126,36.397
2.3301,35.881
2.3476,35.435
2.3651,35.220
2.3827,35.164
2.4002,35.743
2.4177,36.227
2.4352,36.248
2.4527,36.038
2.4703,36.184
2.4878,37.132
2.5053,38.096
2.5228,38.294
2.5403,38.662
2.5579,39.215
2.5754,39.453
2.5929,39.377
2.6104,38.770
2.6279,38.081
2.6455,37.271
2.6630,35.581
2.6805,34.905
2.6980,34.132
2.7155,33.430
2.7331,32.776
2.7506,32.471
2.7681,32.274
2.7856,32.371
2.8031,31.740
2.8207,31.915
2.8382,31.899
2.8557,31.748
2.8732,30.823
2.8907,30.187
2.9083,29.816
2.9258,29.780
2.9433,29.831
