Distance_(mm),Gray_Value
0.0000,22.422
0.0175,22.739
0.0350,23.233
0.0526,23.660
0.0701,24.267
0.0876,24.679
0.1051,25.082
0.1226,25.390
0.1402,26.087
0.1577,26.232
0.1752,26.239
0.1927,26.411
0.2102,26.431
0.2278,26.461
0.2453,26.582
0.2628,26.658
0.2803,26.903
0.2978,27.160
0.3154,27.848
0.3329,28.426
0.3504,29.073
0.3679,29.349
0.3854,29.421
0.4030,29.437
0.4205,29.920
0.4380,30.049
0.4555,30.335
0.4730,30.554
0.4905,30.914
0.5081,31.225
0.5256,31.733
0.5431,31.710
0.5606,31.669
0.5781,31.707
0.5957,31.851
0.6132,31.658
0.6307,31.113
0.6482,30.864
0.6657,30.947
0.6833,31.385
0.7008,34.436
0.7183,37.356
0.7358,37.456
0.7533,37.779
0.7709,38.083
0.7884,39.421
0.8059,39.250
0.8234,38.305
0.8409,35.414
0.8585,34.534
0.8760,34.526
0.8935,33.917
0.9110,31.316
0.9285,29.928
0.9461,30.043
0.9636,29.776
0.9811,28.745
0.9986,28.707
1.0161,28.623
1.0337,28.635
1.0512,28.629
1.0687,28.498
1.0862,28.361
1.1037,28.360
1.1213,28.806
1.1388,29.035
1.1563,29.085
1.1738,28.709
1.1913,27.773
1.2089,26.759
1.2264,26.070
1.2439,25.647
1.2614,25.898
1.2789,25.726
1.2965,25.317
1.3140,25.032
1.3315,24.860
1.3490,24.751
1.3665,24.775
1.3840,24.797
1.4016,23.964
1.4191,23.568
1.4366,23.379
1.4541,23.111
1.4716,22.648
1.4892,22.149
1.5067,21.888
1.5242,21.693
1.5417,21.751
1.5592,21.749
1.5768,21.651
1.5943,21.598
1.6118,21.546
1.6293,21.468
1.6468,21.440
1.6644,21.417
1.6819,21.699
1.6994,21.879
1.7169,22.092
1.7344,22.099
1.7520,21.923
1.7695,21.967
1.7870,22.185
1.8045,22.159
1.8220,21.841
1.8396,22.007
1.8571,22.483
1.8746,23.110
1.8921,23.744
1.9096,24.386
1.9272,24.855
1.9447,25.076
1.9622,25.505
1.9797,25.993
1.9972,26.622
2.0148,27.659
2.0323,28.333
2.0498,28.866
2.0673,29.162
2.0848,29.535
2.1024,30.048
2.1199,30.166
2.1374,30.392
2.1549,30.704
2.1724,31.165
2.1900,31.480
2.2075,32.104
2.2250,32.408
2.2425,32.582
2.2600,32.774
2.2775,33.302
2.2951,33.571
2.3126,33.830
2.3301,33.713
2.3476,33.547
2.3651,33.363
2.3827,33.833
2.4002,34.178
2.4177,35.065
2.4352,36.083
2.4527,36.991
2.4703,37.625
2.4878,37.798
2.5053,37.692
2.5228,36.336
2.5403,36.200
2.5579,35.933
2.5754,35.883
2.5929,35.991
2.6104,36.304
2.6279,36.695
2.6455,37.300
2.6630,37.972
2.6805,38.875
2.6980,39.307
2.7155,38.965
2.7331,38.256
2.7506,37.731
2.7681,37.856
2.7856,38.168
2.8031,38.091
2.8207,37.560
2.8382,36.761
2.8557,36.027
2.8732,35.541
2.8907,35.359
2.9083,35.540
2.9258,35.776
2.9433,36.352
2.9608,36.487
2.9783,36.453
2.9959,36.248
3.0134,35.622
3.0309,34.887
3.0484,34.055
3.0659,33.502
3.0835,32.981
3.1010,33.102
3.1185,33.094
3.1360,32.723
3.1535,32.036
3.1710,31.531
3.1886,31.524
3.2061,31.713
3.2236,30.917
3.2411,30.958
3.2586,30.819
3.2762,30.300
3.2937,29.452
3.3112,28.580
3.3287,27.914
3.3462,27.534
3.3638,26.756
3.3813,25.909
3.3988,25.014
3.4163,24.376
3.4338,24.155
3.4514,23.997
3.4689,24.002
3.4864,24.009
3.5039,24.545
3.5214,24.986
3.5390,25.161
3.5565,24.972
3.5740,24.216
3.5915,24.046
3.6090,23.792
3.6266,24.281
3.6441,24.995
3.6616,25.373
3.6791,25.826
3.6966,26.139
3.7142,26.501
3.7317,26.793
3.7492,26.857
3.7667,27.008
3.7842,27.321
3.8018,27.751
3.8193,28.163
3.8368,28.272
3.8543,28.406
3.8718,28.792
3.8894,29.537
3.9069,30.255
3.9244,31.158
3.9419,31.511
3.9594,32.000
3.9770,32.399
3.9945,32.897
4.0120,33.021
4.0295,33.026
4.0470,32.899
4.0645,32.418
4.0821,32.901
4.0996,33.566
4.1171,34.460
4.1346,35.128
4.1521,36.031
4.1697,36.883
4.1872,37.748
4.2047,38.471
4.2222,40.360
4.2397,41.925
4.2573,42.414
4.2748,42.467
4.2923,43.242
4.3098,44.936
4.3273,46.280
4.3449,46.522
4.3624,46.607
4.3799,46.585
4.3974,45.914
4.4149,44.818
4.4325,44.702
4.4500,45.470
4.4675,45.967
4.4850,47.780
4.5025,48.288
4.5201,49.106
4.5376,49.920
4.5551,50.915
4.5726,51.968
4.5901,52.623
4.6077,53.031
4.6252,53.101
4.6427,52.343
4.6602,52.057
4.6777,52.244
4.6953,51.948
4.7128,51.422
4.7303,51.115
4.7478,51.014
4.7653,49.807
4.7829,49.468
4.8004,49.013
4.8179,48.193
4.8354,47.488
4.8529,47.077
4.8705,47.341
4.8880,47.660
4.9055,49.146
4.9230,49.608
4.9405,49.631
4.9580,49.403
4.9756,48.821
4.9931,47.947
5.0106,46.945
5.0281,46.023
5.0456,43.519
5.0632,42.662
5.0807,41.230
5.0982,39.616
