Distance_(mm),Gray_Value
0.0000,32.068
0.0175,31.920
0.0350,31.854
0.0526,32.527
0.0701,33.599
0.0876,34.991
0.1051,36.472
0.1226,37.497
0.1402,38.629
0.1577,39.848
0.1752,41.835
0.1927,43.553
0.2102,45.395
0.2278,47.798
0.2453,50.708
0.2628,53.086
0.2803,55.915
0.2978,56.522
0.3154,58.396
0.3329,60.588
0.3504,62.887
0.3679,64.872
0.3854,66.252
0.4030,67.497
0.4205,71.102
0.4380,72.615
0.4555,80.379
0.4730,88.072
0.4905,86.356
0.5081,79.487
0.5256,74.507
0.5431,72.336
0.5606,70.857
0.5781,70.249
0.5957,70.007
0.6132,69.886
0.6307,69.842
0.6482,69.801
0.6657,69.669
0.6833,69.259
0.7008,68.897
0.7183,68.183
0.7358,67.539
0.7533,66.984
0.7709,66.110
0.7884,64.827
0.8059,63.315
0.8234,61.978
0.8409,60.482
0.8585,59.926
0.8760,58.631
0.8935,56.927
0.9110,54.630
0.9285,52.197
0.9461,49.767
0.9636,48.353
0.9811,47.106
0.9986,46.407
1.0161,45.582
1.0337,44.643
1.0512,43.643
1.0687,41.828
1.0862,39.858
1.1037,37.988
1.1213,35.259
1.1388,33.062
1.1563,31.478
1.1738,30.429
1.1913,30.288
1.2089,30.457
1.2264,30.512
1.2439,30.336
1.2614,30.623
1.2789,30.484
1.2965,30.170
1.3140,30.340
1.3315,31.204
1.3490,32.666
1.3665,34.158
1.3840,35.317
1.4016,36.662
1.4191,37.794
1.4366,39.721
1.4541,42.560
1.4716,44.709
1.4892,46.362
1.5067,48.432
1.5242,50.806
1.5417,53.271
1.5592,55.471
1.5768,57.583
1.5943,58.945
1.6118,59.273
1.6293,59.621
1.6468,60.091
1.6644,61.002
1.6819,62.548
1.6994,64.201
1.7169,66.406
1.7344,67.995
1.7520,69.866
1.7695,72.193
1.7870,74.196
1.8045,75.114
1.8220,75.216
1.8396,75.132
1.8571,74.427
1.8746,73.232
1.8921,72.093
1.9096,71.796
1.9272,72.288
1.9447,73.134
1.9622,73.449
1.9797,73.153
1.9972,72.653
2.0148,72.184
2.0323,70.740
2.0498,68.675
2.0673,65.666
2.0848,63.634
2.1024,60.874
2.1199,58.794
2.1374,56.707
2.1549,55.924
2.1724,55.460
2.1900,55.146
2.2075,54.158
2.2250,53.300
2.2425,51.744
2.2600,49.828
2.2775,47.413
2.2951,45.627
2.3126,44.534
2.3301,43.641
2.3476,42.507
2.3651,41.679
2.3827,40.991
2.4002,40.485
2.4177,40.038
2.4352,39.745
2.4527,39.741
2.4703,39.985
2.4878,40.211
2.5053,40.399
2.5228,40.674
2.5403,41.624
2.5579,43.556
2.5754,46.689
2.5929,49.349
2.6104,51.545
2.6279,54.335
2.6455,56.835
2.6630,59.309
