Distance_(mm),Gray_Value
6.1844,44.949
6.2019,46.684
6.2195,47.896
6.2370,48.613
6.2545,48.633
6.2720,49.672
6.2895,51.552
6.3071,51.952
6.3246,51.349
6.3421,51.167
6.3596,52.004
6.3771,53.657
6.3947,55.476
6.4122,56.583
6.4297,57.493
6.4472,58.001
6.4647,58.408
6.4823,58.525
6.4998,58.632
6.5173,58.887
6.5348,59.133
6.5523,59.644
6.5699,59.802
6.5874,59.460
6.6049,60.066
6.6224,60.796
6.6399,61.748
6.6575,62.686
6.6750,63.252
6.6925,63.465
6.7100,63.687
6.7275,63.802
6.7451,63.970
6.7626,63.639
6.7801,63.095
6.7976,61.987
6.8151,60.722
6.8326,59.493
6.8502,58.837
6.8677,58.299
6.8852,57.658
6.9027,57.224
6.9202,56.621
6.9378,55.694
6.9553,54.553
6.9728,53.137
6.9903,52.032
7.0078,51.018
7.0254,49.821
7.0429,48.208
7.0604,47.376
7.0779,46.742
7.0954,46.141
7.1130,45.645
7.1305,45.102
7.1480,44.176
7.1655,42.999
7.1830,42.196
7.2006,41.374
7.2181,40.477
7.2356,39.810
7.2531,39.194
7.2706,38.984
7.2882,38.584
7.3057,37.640
7.3232,36.949
7.3407,36.540
7.3582,36.577
7.3758,36.861
7.3933,37.018
7.4108,37.169
7.4283,38.821
7.4458,39.822
7.4634,41.540
7.4809,43.845
7.4984,46.093
7.5159,47.827
7.5334,48.842
7.5510,49.353
7.5685,50.017
7.5860,50.044
7.6035,49.915
7.6210,49.528
7.6386,49.781
7.6561,52.853
7.6736,55.694
7.6911,55.454
7.7086,54.904
7.7261,55.238
7.7437,57.278
7.7612,59.236
7.7787,60.413
7.7962,61.640
7.8137,62.743
7.8313,64.224
7.8488,66.666
7.8663,68.746
7.8838,71.164
7.9013,72.945
7.9189,73.462
7.9364,73.642
7.9539,74.580
7.9714,76.075
7.9889,78.219
8.0065,79.744
8.0240,80.778
8.0415,81.329
8.0590,81.385
8.0765,81.147
8.0941,81.066
8.1116,81.005
8.1291,80.288
8.1466,79.500
8.1641,78.315
8.1817,77.114
8.1992,76.056
8.2167,74.883
8.2342,73.337
8.2517,71.811
8.2693,70.506
8.2868,69.346
8.3043,68.346
8.3218,67.397
8.3393,66.555
8.3569,66.237
8.3744,66.247
8.3919,66.245
8.4094,66.410
8.4269,67.260
8.4445,68.384
8.4620,68.969
8.4795,68.579
8.4970,67.519
8.5145,66.507
8.5321,65.988
8.5496,64.115
8.5671,62.194
8.5846,59.955
8.6021,58.131
8.6196,56.486
8.6372,54.881
8.6547,53.834
8.6722,53.211
8.6897,51.712
8.7072,50.828
8.7248,51.002
8.7423,51.073
8.7598,51.053
8.7773,50.097
8.7948,48.626
8.8124,47.535
8.8299,47.289
8.8474,47.473
8.8649,47.790
8.8824,47.647
8.9000,47.669
8.9175,48.752
8.9350,50.969
8.9525,53.195
8.9700,54.762
8.9876,56.861
9.0051,58.579
9.0226,60.255
9.0401,62.556
9.0576,63.372
9.0752,63.333
9.0927,64.333
9.1102,64.543
9.1277,63.401
9.1452,62.239
9.1628,63.824
9.1803,67.401
9.1978,70.578
9.2153,73.528
9.2328,75.929
9.2504,77.413
9.2679,78.433
9.2854,78.200
9.3029,79.960
9.3204,81.957
9.3380,84.688
9.3555,86.241
9.3730,87.088
9.3905,87.862
9.4080,90.054
