Distance_(mm),Gray_Value
0.0000,20.661
0.0175,20.914
0.0350,20.972
0.0526,20.748
0.0701,20.478
0.0876,20.739
0.1051,21.209
0.1226,21.511
0.1402,22.424
0.1577,23.851
0.1752,24.025
0.1927,25.046
0.2102,25.112
0.2278,25.574
0.2453,27.721
0.2628,27.891
0.2803,27.149
0.2978,25.795
0.3154,25.368
0.3329,25.722
0.3504,25.797
0.3679,26.147
0.3854,27.345
0.4030,28.299
0.4205,29.209
0.4380,29.923
0.4555,31.156
0.4730,31.676
0.4905,31.016
0.5081,31.157
0.5256,31.882
0.5431,32.277
0.5606,32.237
0.5781,31.762
0.5957,31.251
0.6132,31.298
0.6307,31.560
0.6482,31.967
0.6657,32.215
0.6833,32.328
0.7008,33.083
0.7183,33.471
0.7358,33.667
0.7533,33.725
0.7709,33.840
0.7884,33.937
0.8059,34.154
0.8234,34.190
0.8409,34.307
0.8585,34.617
0.8760,35.072
0.8935,35.502
0.9110,35.762
0.9285,35.739
0.9461,35.785
0.9636,36.146
0.9811,35.867
0.9986,35.597
1.0161,35.805
1.0337,36.196
1.0512,36.411
1.0687,36.732
1.0862,37.017
1.1037,37.122
1.1213,36.966
1.1388,36.938
1.1563,36.080
1.1738,35.294
1.1913,34.582
1.2089,33.905
1.2264,33.162
1.2439,32.717
1.2614,32.175
1.2789,31.976
1.2965,31.076
1.3140,30.276
1.3315,29.124
1.3490,28.188
1.3665,27.279
1.3840,26.636
1.4016,25.778
1.4191,25.573
1.4366,25.582
1.4541,26.063
1.4716,26.595
1.4892,27.505
1.5067,28.345
1.5242,28.935
1.5417,28.835
1.5592,28.704
1.5768,29.027
1.5943,30.035
1.6118,30.390
1.6293,30.304
1.6468,30.452
1.6644,31.296
1.6819,33.585
1.6994,34.498
1.7169,34.870
1.7344,34.541
1.7520,33.796
1.7695,33.187
1.7870,32.970
1.8045,32.787
1.8220,31.980
1.8396,33.088
1.8571,34.616
1.8746,35.599
1.8921,35.976
1.9096,36.024
1.9272,36.155
1.9447,36.420
1.9622,37.569
1.9797,37.786
1.9972,38.233
2.0148,38.737
2.0323,39.516
2.0498,40.667
2.0673,41.959
2.0848,42.629
2.1024,44.569
2.1199,44.976
2.1374,44.815
