Distance_(mm),Gray_Value
0.0000,32.078
0.0175,32.574
0.0350,32.995
0.0526,33.064
0.0701,32.884
0.0876,32.621
0.1051,32.526
0.1226,32.741
0.1402,33.535
0.1577,33.682
0.1752,33.894
0.1927,34.076
0.2102,34.088
0.2278,34.314
0.2453,34.532
0.2628,34.677
0.2803,35.032
0.2978,34.843
0.3154,34.643
0.3329,34.729
0.3504,34.931
0.3679,34.952
0.3854,35.226
0.4030,35.535
0.4205,35.982
0.4380,36.031
0.4555,35.937
0.4730,35.762
0.4905,35.728
0.5081,35.526
0.5256,35.347
0.5431,35.245
0.5606,35.100
0.5781,34.931
0.5957,34.434
0.6132,33.776
0.6307,33.338
0.6482,32.923
0.6657,32.394
0.6833,32.282
0.7008,31.700
0.7183,31.579
0.7358,31.445
0.7533,31.296
0.7709,31.104
0.7884,30.968
0.8059,30.724
0.8234,30.598
0.8409,29.526
0.8585,29.524
0.8760,29.490
0.8935,29.521
0.9110,29.645
0.9285,29.454
0.9461,29.096
0.9636,29.056
0.9811,29.135
0.9986,29.109
1.0161,28.977
1.0337,28.955
1.0512,28.851
1.0687,28.744
1.0862,28.747
1.1037,28.898
1.1213,30.091
1.1388,30.461
1.1563,30.539
1.1738,30.803
1.1913,31.584
1.2089,32.318
1.2264,32.880
1.2439,33.333
1.2614,33.284
1.2789,33.514
1.2965,34.252
1.3140,34.914
1.3315,35.947
1.3490,36.675
1.3665,37.108
1.3840,37.560
1.4016,38.197
1.4191,37.787
1.4366,37.514
1.4541,37.771
1.4716,38.510
1.4892,39.414
1.5067,40.320
1.5242,40.565
1.5417,41.666
1.5592,42.069
1.5768,43.198
1.5943,44.009
1.6118,44.309
1.6293,45.116
1.6468,46.235
1.6644,46.614
1.6819,46.253
1.6994,45.744
1.7169,45.176
1.7344,44.554
1.7520,44.305
1.7695,44.315
1.7870,44.504
1.8045,44.839
1.8220,45.337
1.8396,45.940
1.8571,46.239
1.8746,45.933
1.8921,45.185
1.9096,44.380
1.9272,43.920
1.9447,43.773
1.9622,42.994
1.9797,42.298
1.9972,41.072
2.0148,39.463
2.0323,37.605
2.0498,35.999
2.0673,34.515
2.0848,33.692
2.1024,33.016
2.1199,33.010
2.1374,32.865
2.1549,32.710
2.1724,32.521
2.1900,32.420
2.2075,32.305
2.2250,32.209
2.2425,31.807
2.2600,31.979
2.2775,32.077
2.2951,32.249
