Distance_(mm),Gray_Value
6.1844,23.064
6.2019,23.496
6.2195,24.055
6.2370,25.312
6.2545,26.352
6.2720,27.290
6.2895,27.802
6.3071,28.242
6.3246,28.896
6.3421,30.106
6.3596,31.095
6.3771,31.835
6.3947,32.489
6.4122,33.196
6.4297,33.827
6.4472,34.637
6.4647,35.022
6.4823,35.437
6.4998,36.211
6.5173,36.731
6.5348,37.256
6.5523,37.929
6.5699,38.184
6.5874,38.036
6.6049,37.759
6.6224,37.299
6.6399,37.162
6.6575,36.883
6.6750,36.412
6.6925,36.082
6.7100,36.010
6.7275,36.242
6.7451,36.789
6.7626,37.386
6.7801,38.130
6.7976,38.390
6.8151,38.370
6.8326,38.036
6.8502,37.815
6.8677,37.566
6.8852,37.671
6.9027,37.555
6.9202,37.520
6.9378,37.504
6.9553,37.581
6.9728,37.814
6.9903,38.046
7.0078,38.349
7.0254,38.739
7.0429,39.065
7.0604,39.291
7.0779,39.297
7.0954,39.410
7.1130,38.476
7.1305,37.209
7.1480,34.570
7.1655,33.883
7.1830,33.092
7.2006,32.370
7.2181,31.536
7.2356,30.867
7.2531,30.164
7.2706,29.844
7.2882,30.372
7.3057,30.496
7.3232,30.026
7.3407,29.810
7.3582,29.253
7.3758,28.048
7.3933,27.498
7.4108,27.066
7.4283,26.505
7.4458,25.777
7.4634,25.496
7.4809,25.254
7.4984,24.976
7.5159,24.662
7.5334,24.393
7.5510,24.321
7.5685,24.145
7.5860,23.890
7.6035,23.978
7.6210,24.039
7.6386,23.568
7.6561,22.735
7.6736,22.205
7.6911,21.992
7.7086,21.201
7.7261,20.986
7.7437,20.745
7.7612,20.623
7.7787,20.643
7.7962,20.814
7.8137,21.226
7.8313,21.586
7.8488,22.063
7.8663,22.104
7.8838,23.048
7.9013,23.760
7.9189,25.001
7.9364,24.595
7.9539,25.299
7.9714,26.454
7.9889,27.883
8.0065,30.233
8.0240,33.603
8.0415,33.709
8.0590,32.200
8.0765,32.066
8.0941,34.091
8.1116,34.411
8.1291,33.260
8.1466,30.917
8.1641,30.680
8.1817,31.086
8.1992,31.040
8.2167,30.554
8.2342,30.418
8.2517,31.193
8.2693,30.973
8.2868,31.635
8.3043,32.565
8.3218,33.137
8.3393,33.248
8.3569,33.912
8.3744,35.303
8.3919,36.868
8.4094,38.655
8.4269,40.197
8.4445,41.699
8.4620,43.267
8.4795,44.222
8.4970,44.560
8.5145,44.598
8.5321,44.877
8.5496,45.061
8.5671,45.262
8.5846,45.645
8.6021,46.130
8.6196,46.556
8.6372,46.801
8.6547,46.694
8.6722,46.575
8.6897,46.281
8.7072,46.788
8.7248,47.128
8.7423,47.277
8.7598,47.473
8.7773,48.255
8.7948,49.671
8.8124,51.322
8.8299,53.320
8.8474,55.431
8.8649,59.202
8.8824,63.146
8.9000,64.462
8.9175,63.010
8.9350,61.555
8.9525,59.384
8.9700,56.483
8.9876,55.534
9.0051,56.633
9.0226,58.118
9.0401,58.054
9.0576,56.920
9.0752,56.843
9.0927,57.812
9.1102,55.694
9.1277,52.201
9.1452,49.414
9.1628,48.063
9.1803,47.117
9.1978,46.920
9.2153,46.432
9.2328,45.949
9.2504,44.824
9.2679,44.067
9.2854,43.379
9.3029,42.502
9.3204,41.836
9.3380,41.205
9.3555,40.652
9.3730,40.075
9.3905,38.661
9.4080,37.814
9.4256,37.151
9.4431,36.302
9.4606,35.366
9.4781,34.452
9.4956,33.611
9.5131,33.147
9.5307,32.986
9.5482,32.798
9.5657,32.443
9.5832,32.067
9.6007,31.829
9.6183,31.612
9.6358,31.086
9.6533,30.507
9.6708,29.346
9.6883,28.339
9.7059,28.331
9.7234,28.030
9.7409,27.776
9.7584,27.399
9.7759,27.056
9.7935,26.977
9.8110,28.230
9.8285,28.715
9.8460,29.354
9.8635,29.604
9.8811,29.801
9.8986,30.100
9.9161,30.532
9.9336,31.065
9.9511,31.022
9.9687,32.027
9.9862,33.757
10.0037,34.934
10.0212,35.225
10.0387,35.578
10.0563,36.068
10.0738,36.714
10.0913,37.905
10.1088,38.596
10.1263,39.101
10.1439,39.830
10.1614,40.541
10.1789,41.578
10.1964,42.668
10.2139,43.487
10.2315,43.812
10.2490,44.574
10.2665,45.767
10.2840,47.591
10.3015,49.465
10.3191,51.159
10.3366,52.595
10.3541,53.525
10.3716,55.411
10.3891,55.926
10.4066,56.903
10.4242,58.267
10.4417,59.307
10.4592,60.116
10.4767,61.369
10.4942,62.747
10.5118,63.165
10.5293,64.130
10.5468,66.074
10.5643,67.738
10.5818,67.984
10.5994,67.513
10.6169,67.686
10.6344,68.502
10.6519,69.452
10.6694,69.949
10.6870,70.318
10.7045,70.596
10.7220,70.721
10.7395,70.639
10.7570,70.478
10.7746,70.156
10.7921,69.302
10.8096,69.393
10.8271,70.060
10.8446,70.500
10.8622,70.557
10.8797,69.987
10.8972,69.170
10.9147,68.293
10.9322,68.011
10.9498,68.632
10.9673,68.660
10.9848,68.482
11.0023,68.182
11.0198,67.706
11.0374,67.221
11.0549,67.131
11.0724,66.515
11.0899,66.169
11.1074,65.764
11.1250,65.232
11.1425,64.717
11.1600,63.773
11.1775,62.427
11.1950,61.240
11.2126,59.327
11.2301,58.053
11.2476,57.357
11.2651,56.676
11.2826,55.985
11.3001,55.826
11.3177,55.836
11.3352,55.903
11.3527,54.387
11.3702,53.115
11.3877,51.945
11.4053,51.067
11.4228,50.068
11.4403,49.330
11.4578,48.526
11.4753,47.616
11.4929,45.627
11.5104,43.573
11.5279,41.631
11.5454,39.848
11.5629,38.840
11.5805,37.974
11.5980,36.925
11.6155,35.678
11.6330,34.201
11.6505,33.597
11.6681,33.181
11.6856,32.542
11.7031,31.650
11.7206,30.845
11.7381,30.210
11.7557,29.379
11.7732,28.360
11.7907,27.415
11.8082,27.276
11.8257,27.402
11.8433,27.332
11.8608,27.681
11.8783,28.377
11.8958,29.013
11.9133,30.294
11.9309,31.139
11.9484,32.187
11.9659,33.152
11.9834,34.304
12.0009,35.607
12.0185,36.959
12.0360,37.950
12.0535,39.498
12.0710,39.813
12.0885,39.869
12.1061,40.113
12.1236,41.062
12.1411,42.907
12.1586,45.220
12.1761,48.817
12.1936,53.818
12.2112,57.129
12.2287,59.679
12.2462,64.033
12.2637,66.817
12.2812,69.360
12.2988,71.918
12.3163,73.722
12.3338,74.577
12.3513,75.638
12.3688,76.250
12.3864,77.694
12.4039,78.005
12.4214,77.903
12.4389,77.267
12.4564,77.373
12.4740,78.490
12.4915,79.285
12.5090,79.867
12.5265,81.619
12.5440,83.146
12.5616,84.916
12.5791,85.823
12.5966,86.424
12.6141,87.823
12.6316,89.045
12.6492,90.324
12.6667,92.028
12.6842,93.891
12.7017,95.266
12.7192,97.792
12.7368,101.212
12.7543,101.036
12.7718,99.809
12.7893,98.560
12.8068,98.628
12.8244,99.069
12.8419,97.754
12.8594,95.701
12.8769,94.863
12.8944,95.612
12.9120,95.256
12.9295,95.455
12.9470,96.138
12.9645,96.599
12.9820,97.769
12.9996,100.904
13.0171,104.517
13.0346,103.277
13.0521,98.211
13.0696,93.100
13.0871,90.996
13.1047,90.868
13.1222,91.661
13.1397,90.231
13.1572,90.084
13.1747,88.837
13.1923,90.677
13.2098,97.876
13.2273,105.789
13.2448,102.247
13.2623,91.537
13.2799,82.261
13.2974,77.785
13.3149,75.872
13.3324,77.677
13.3499,83.832
13.3675,88.576
13.3850,85.941
13.4025,80.659
13.4200,77.353
13.4375,76.289
13.4551,75.246
13.4726,75.393
13.4901,76.222
13.5076,75.388
13.5251,72.883
13.5427,70.063
13.5602,67.751
13.5777,66.193
13.5952,64.970
13.6127,64.833
13.6303,64.741
13.6478,63.555
13.6653,61.875
13.6828,59.044
13.7003,55.845
13.7179,53.754
13.7354,51.737
13.7529,50.966
13.7704,50.270
13.7879,49.471
13.8055,48.329
13.8230,47.667
13.8405,46.800
13.8580,45.925
13.8755,44.405
13.8931,44.797
13.9106,44.274
13.9281,45.156
13.9456,44.944
13.9631,44.719
13.9806,46.638
13.9982,46.243
14.0157,45.872
14.0332,44.146
14.0507,41.870
14.0682,42.775
14.0858,42.936
14.1033,44.823
14.1208,48.688
14.1383,51.106
14.1558,52.364
14.1734,53.862
14.1909,53.709
14.2084,54.731
14.2259,51.947
14.2434,50.935
14.2610,51.489
14.2785,56.146
14.2960,58.634
14.3135,60.937
14.3310,61.999
14.3486,62.098
14.3661,62.555
14.3836,63.563
14.4011,69.613
14.4186,77.572
14.4362,79.456
14.4537,78.084
14.4712,78.028
14.4887,80.279
14.5062,82.040
14.5238,81.711
14.5413,79.606
14.5588,79.146
14.5763,79.441
14.5938,81.498
14.6114,92.102
14.6289,103.430
14.6464,106.389
14.6639,104.781
14.6814,98.207
14.6990,94.928
14.7165,94.862
14.7340,97.490
14.7515,103.407
14.7690,112.001
14.7866,116.845
14.8041,117.628
14.8216,118.101
14.8391,119.140
14.8566,116.128
14.8741,113.514
14.8917,116.065
14.9092,122.403
14.9267,123.007
14.9442,117.884
14.9617,116.039
14.9793,116.953
14.9968,114.717
15.0143,109.517
15.0318,105.760
15.0493,110.519
15.0669,119.998
15.0844,123.934
15.1019,116.502
15.1194,112.678
15.1369,111.315
15.1545,109.800
15.1720,109.682
15.1895,111.007
15.2070,112.084
15.2245,112.969
15.2421,112.429
15.2596,108.774
15.2771,103.770
15.2946,98.167
15.3121,94.586
15.3297,94.175
15.3472,95.555
15.3647,96.218
15.3822,95.273
