Distance_(mm),Gray_Value
0.0000,22.403
0.0175,22.349
0.0350,22.232
0.0526,22.125
0.0701,21.689
0.0876,21.557
0.1051,21.390
0.1226,21.341
0.1402,21.404
0.1577,21.562
0.1752,21.687
0.1927,21.765
0.2102,21.901
0.2278,21.952
0.2453,22.064
0.2628,22.184
0.2803,22.533
0.2978,22.491
0.3154,22.529
0.3329,22.641
0.3504,22.894
0.3679,22.976
0.3854,23.070
0.4030,23.089
0.4205,22.898
0.4380,22.995
0.4555,23.328
0.4730,23.708
0.4905,24.321
0.5081,24.782
0.5256,25.111
0.5431,25.329
0.5606,25.465
0.5781,25.772
0.5957,26.074
0.6132,26.178
0.6307,26.109
0.6482,26.316
0.6657,26.573
0.6833,26.911
0.7008,27.232
0.7183,27.348
0.7358,27.466
0.7533,27.553
0.7709,27.606
0.7884,27.598
0.8059,27.693
0.8234,27.869
0.8409,28.129
0.8585,27.784
0.8760,27.578
0.8935,27.283
0.9110,27.247
0.9285,27.538
0.9461,27.870
0.9636,28.210
0.9811,28.223
0.9986,28.251
1.0161,28.371
1.0337,28.439
1.0512,28.589
1.0687,28.661
1.0862,28.695
1.1037,28.778
1.1213,28.832
1.1388,28.599
1.1563,28.358
1.1738,27.993
1.1913,27.522
1.2089,27.361
1.2264,27.234
1.2439,27.141
1.2614,26.980
1.2789,26.976
1.2965,27.104
1.3140,26.999
1.3315,26.722
1.3490,26.537
1.3665,26.551
1.3840,26.485
1.4016,26.209
1.4191,26.249
1.4366,26.435
1.4541,26.553
1.4716,26.516
1.4892,26.526
1.5067,26.473
1.5242,26.494
1.5417,27.058
1.5592,27.395
1.5768,27.854
1.5943,28.357
1.6118,29.003
1.6293,29.390
1.6468,29.745
1.6644,29.945
1.6819,30.830
1.6994,31.044
1.7169,31.583
1.7344,31.804
1.7520,32.058
1.7695,32.270
1.7870,32.417
1.8045,32.436
1.8220,32.375
1.8396,32.471
1.8571,32.820
1.8746,33.507
1.8921,34.476
1.9096,35.665
1.9272,36.521
1.9447,36.840
1.9622,36.368
1.9797,36.009
1.9972,35.941
2.0148,36.051
2.0323,36.381
2.0498,36.578
2.0673,36.834
2.0848,37.096
2.1024,36.731
2.1199,36.829
2.1374,36.886
2.1549,36.808
2.1724,36.601
2.1900,36.509
2.2075,36.678
2.2250,36.907
2.2425,35.698
2.2600,34.862
2.2775,34.317
2.2951,34.262
2.3126,33.941
2.3301,33.939
2.3476,34.391
2.3651,34.637
2.3827,34.406
2.4002,34.305
2.4177,33.966
2.4352,33.384
2.4527,32.835
2.4703,32.670
2.4878,32.762
2.5053,33.016
2.5228,32.310
2.5403,32.110
2.5579,31.842
2.5754,31.458
2.5929,31.089
2.6104,30.860
2.6279,30.845
2.6455,31.041
2.6630,31.430
2.6805,31.514
2.6980,31.490
2.7155,31.542
2.7331,31.524
2.7506,31.254
2.7681,30.803
2.7856,30.497
2.8031,30.271
2.8207,30.093
2.8382,29.990
2.8557,29.998
2.8732,30.140
2.8907,30.200
2.9083,30.277
2.9258,30.373
2.9433,30.641
2.9608,30.559
2.9783,31.398
2.9959,31.819
3.0134,31.164
3.0309,30.933
3.0484,30.733
3.0659,30.563
3.0835,29.932
3.1010,29.841
3.1185,29.967
3.1360,30.490
3.1535,30.965
3.1710,31.417
3.1886,31.883
3.2061,32.020
3.2236,31.423
3.2411,31.473
3.2586,31.819
3.2762,32.370
3.2937,33.235
3.3112,34.336
3.3287,35.366
3.3462,36.025
3.3638,36.337
3.3813,36.556
3.3988,37.259
3.4163,37.757
3.4338,37.654
3.4514,38.020
3.4689,38.590
3.4864,38.979
3.5039,40.648
3.5214,42.370
3.5390,44.375
3.5565,44.861
3.5740,43.861
3.5915,43.331
3.6090,43.348
3.6266,42.632
