Distance_(unit),Gray_Value
0.0000,1.667
0.0031,1.667
0.0062,1.667
0.0093,1.667
0.0124,1.667
0.0155,1.667
0.0186,2.665
0.0217,2.667
0.0248,2.667
0.0278,2.667
0.0309,2.667
0.0340,2.667
0.0371,2.667
0.0402,2.667
0.0433,2.667
0.0464,2.667
0.0495,2.667
0.0526,2.667
0.0557,2.667
0.0588,2.667
0.0619,2.667
0.0650,2.667
0.0681,2.667
0.0712,2.667
0.0743,2.667
0.0774,2.667
0.0804,2.667
0.0835,2.667
0.0866,2.667
0.0897,2.667
0.0928,2.667
0.0959,2.667
0.0990,2.667
0.1021,2.667
0.1052,2.667
0.1083,2.667
0.1114,2.667
0.1145,2.667
0.1176,2.667
0.1207,2.667
0.1238,2.667
0.1269,2.667
0.1300,2.667
0.1330,2.667
0.1361,2.667
0.1392,2.667
0.1423,2.667
0.1454,2.667
0.1485,2.667
0.1516,2.667
0.1547,2.667
0.1578,2.667
0.1609,2.667
0.1640,2.667
0.1671,2.667
0.1702,2.667
0.1733,2.667
0.1764,2.667
0.1795,2.667
0.1826,2.667
0.1857,2.667
0.1887,2.667
0.1918,2.667
0.1949,2.667
0.1980,2.667
0.2011,2.667
0.2042,2.667
0.2073,2.667
0.2104,2.667
0.2135,2.667
0.2166,2.667
0.2197,2.667
0.2228,2.667
0.2259,2.667
0.2290,2.667
0.2321,2.667
0.2352,2.667
0.2383,2.667
0.2413,2.667
0.2444,2.667
0.2475,2.667
0.2506,2.667
0.2537,2.667
0.2568,2.667
0.2599,2.667
0.2630,2.667
0.2661,2.667
0.2692,2.667
0.2723,2.667
0.2754,2.667
0.2785,2.667
0.2816,2.667
0.2847,2.667
0.2878,2.667
0.2909,2.667
0.2939,2.667
0.2970,2.667
0.3001,2.667
0.3032,2.667
0.3063,2.667
0.3094,2.667
0.3125,2.667
0.3156,2.667
0.3187,2.667
0.3218,2.667
0.3249,2.667
0.3280,2.667
0.3311,2.667
0.3342,2.667
0.3373,2.667
0.3404,3.313
0.3435,3.333
0.3465,3.333
0.3496,3.333
0.3527,3.333
0.3558,3.333
0.3589,3.333
0.3620,3.333
0.3651,3.978
0.3682,4.000
0.3713,4.000
0.3744,4.000
0.3775,4.000
0.3806,4.000
0.3837,4.000
0.3868,4.000
0.3899,4.000
0.3930,4.000
0.3961,4.000
0.3991,4.000
0.4022,4.000
0.4053,4.000
0.4084,4.000
0.4115,4.000
0.4146,3.679
0.4177,3.667
0.4208,3.667
0.4239,3.667
0.4270,3.667
0.4301,4.628
0.4332,4.667
0.4363,5.133
0.4394,5.889
0.4425,6.247
0.4456,7.364
0.4487,7.925
0.4518,8.913
0.4548,10.133
0.4579,10.273
0.4610,10.632
0.4641,11.283
0.4672,12.284
0.4703,13.949
0.4734,16.237
0.4765,18.340
0.4796,19.740
0.4827,22.624
0.4858,24.362
0.4889,27.378
0.4920,28.617
0.4951,29.769
0.4982,31.431
0.5013,32.796
0.5044,33.707
0.5074,34.522
0.5105,34.921
