Distance_(unit),Gray_Value
0.00000,4.000
0.00309,4.000
0.00619,4.000
0.00928,4.000
0.01238,4.000
0.01547,4.987
0.01857,5.000
0.02166,5.000
0.02475,5.132
0.02785,5.328
0.03094,5.333
0.03404,5.333
0.03713,5.333
0.04022,5.333
0.04332,5.374
0.04641,5.448
0.04951,5.341
0.05260,5.333
0.05570,5.333
0.05879,5.333
0.06188,5.333
0.06498,5.333
0.06807,5.333
0.07117,5.333
0.07426,5.333
0.07735,5.333
0.08045,5.333
0.08354,5.331
0.08664,5.306
0.08973,5.282
0.09283,5.327
0.09592,5.333
0.09901,5.903
0.10211,5.881
0.10520,6.270
0.10830,6.630
0.11139,6.667
0.11448,7.344
0.11758,7.491
0.12067,7.565
0.12377,7.631
0.12686,7.667
0.12996,7.667
0.13305,7.667
0.13614,7.667
0.13924,7.667
0.14233,6.787
0.14543,6.667
0.14852,6.083
0.15161,6.000
0.15471,5.420
0.15780,5.333
0.16090,5.333
0.16399,5.333
0.16709,5.333
0.17018,5.333
0.17327,5.333
0.17637,5.333
0.17946,6.465
0.18256,6.667
0.18565,7.510
0.18875,7.667
0.19184,9.064
0.19493,9.333
0.19803,9.333
0.20112,9.333
0.20422,9.333
0.20731,9.333
0.21040,9.333
0.21350,8.618
0.21659,8.535
0.21969,8.385
0.22278,8.333
0.22588,7.524
0.22897,7.333
0.23206,6.990
0.23516,6.194
0.23825,5.852
0.24135,4.910
0.24444,4.667
0.24753,4.667
0.25063,4.667
0.25372,4.667
0.25682,4.667
0.25991,5.187
0.26301,5.688
0.26610,5.739
0.26919,5.690
0.27229,7.715
0.27538,8.589
0.27848,8.667
0.28157,9.175
0.28466,9.333
0.28776,9.333
0.29085,9.333
0.29395,9.333
0.29704,9.333
0.30014,8.742
0.30323,8.654
0.30632,8.508
0.30942,8.091
0.31251,7.391
0.31561,6.576
0.31870,6.090
0.32179,5.028
0.32489,5.151
0.32798,5.333
0.33108,5.333
0.33417,5.316
0.33727,5.266
0.34036,5.300
0.34345,5.333
0.34655,6.041
0.34964,7.039
0.35274,7.568
0.35583,8.367
0.35893,9.364
0.36202,9.667
0.36511,10.821
0.36821,11.333
0.37130,10.875
0.37440,10.667
0.37749,10.667
0.38058,9.987
0.38368,8.990
0.38677,8.667
0.38987,7.995
0.39296,7.667
0.39606,6.778
0.39915,6.333
0.40224,6.113
0.40534,6.000
0.40843,5.781
0.41153,5.013
0.41462,4.667
0.41771,4.667
0.42081,5.742
0.42390,6.860
0.42700,7.291
0.43009,7.547
0.43319,7.667
0.43628,8.721
0.43937,9.333
0.44247,9.333
0.44556,9.958
0.44866,10.333
0.45175,10.746
0.45484,11.380
0.45794,11.666
0.46103,11.667
0.46413,12.276
0.46722,12.667
0.47032,11.258
0.47341,10.333
0.47650,9.535
0.47960,8.801
0.48269,8.073
0.48579,7.667
0.48888,6.883
0.49197,6.333
0.49507,6.333
0.49816,6.333
0.50126,6.328
0.50435,6.333
0.50745,7.096
0.51054,7.807
0.51363,8.202
0.51673,8.547
0.51982,9.603
0.52292,10.333
0.52601,11.076
0.52911,11.667
0.53220,12.402
0.53529,13.549
0.53839,14.220
0.54148,14.877
0.54458,15.290
0.54767,15.179
0.55076,15.049
0.55386,14.839
0.55695,13.585
0.56005,11.945
0.56314,10.299
0.56624,8.877
0.56933,8.042
0.57242,7.667
0.57552,7.667
0.57861,7.325
0.58171,7.000
0.58480,7.000
0.58789,7.000
0.59099,7.000
0.59408,7.832
0.59718,8.775
0.60027,9.451
0.60337,10.167
0.60646,10.822
0.60955,11.820
0.61265,12.978
0.61574,13.701
0.61884,13.850
0.62193,14.030
0.62502,14.473
0.62812,15.000
0.63121,14.376
0.63431,12.937
0.63740,11.242
0.64050,10.027
0.64359,9.362
0.64668,8.848
0.64978,8.214
0.65287,7.565
0.65597,6.819
0.65906,6.032
0.66215,5.705
0.66525,5.333
0.66834,5.007
0.67144,4.908
0.67453,5.765
0.67763,7.048
0.68072,8.810
0.68381,10.655
0.68691,12.227
0.69000,13.378
0.69310,14.856
0.69619,16.333
0.69929,16.389
0.70238,16.420
0.70547,16.356
0.70857,15.920
0.71166,15.212
0.71476,15.166
0.71785,15.728
0.72094,15.941
0.72404,14.966
0.72713,13.768
0.73023,12.154
0.73332,10.697
0.73642,9.287
0.73951,8.541
0.74260,8.687
0.74570,8.932
0.74879,7.961
0.75189,7.416
0.75498,7.748
0.75807,8.355
0.76117,9.156
0.76426,9.935
0.76736,11.507
0.77045,13.780
0.77355,14.632
0.77664,15.923
0.77973,17.154
0.78283,18.066
0.78592,18.667
0.78902,19.099
0.79211,17.903
0.79520,15.997
0.79830,16.231
0.80139,15.750
0.80449,15.226
0.80758,13.757
0.81068,11.682
0.81377,9.611
0.81686,8.514
0.81996,7.968
0.82305,7.923
0.82615,7.947
0.82924,7.972
0.83233,7.998
0.83543,8.000
0.83852,8.000
0.84162,8.485
0.84471,9.859
0.84781,10.740
0.85090,12.640
0.85399,15.841
0.85709,18.278
0.86018,19.521
0.86328,21.431
0.86637,23.270
0.86946,24.042
0.87256,24.399
0.87565,25.344
0.87875,25.023
0.88184,23.445
0.88494,20.989
0.88803,18.524
0.89112,15.789
0.89422,11.353
0.89731,9.982
0.90041,9.161
0.90350,9.905
0.90660,10.849
0.90969,11.282
0.91278,10.134
0.91588,8.741
0.91897,8.976
0.92207,9.067
0.92516,9.438
0.92825,9.884
0.93135,11.142
0.93444,13.348
0.93754,15.474
0.94063,16.923
0.94373,18.839
0.94682,22.141
0.94991,23.768
0.95301,22.856
0.95610,21.715
0.95920,21.636
0.96229,21.667
0.96538,21.356
0.96848,20.000
0.97157,19.758
0.97467,18.250
0.97776,16.099
0.98086,14.711
0.98395,13.163
0.98704,12.053
0.99014,10.489
0.99323,9.572
0.99633,9.280
0.99942,9.000
1.00251,9.052
1.00561,9.537
1.00870,10.917
1.01180,12.481
1.01489,13.436
1.01799,14.498
1.02108,16.250
1.02417,20.286
1.02727,24.967
1.03036,28.662
1.03346,31.450
1.03655,32.664
1.03964,30.423
1.04274,26.661
1.04583,26.285
1.04893,24.225
1.05202,23.564
1.05512,24.594
1.05821,23.821
1.06130,21.561
1.06440,20.128
