Distance_(unit),Gray_Value
0.00000,4.333
0.00309,4.354
0.00619,4.375
0.00928,4.396
0.01238,3.336
0.01547,3.333
0.01857,3.333
0.02166,3.333
0.02475,2.669
0.02785,2.667
0.03094,2.667
0.03404,2.667
0.03713,2.667
0.04022,2.667
0.04332,3.990
0.04641,4.000
0.04951,4.331
0.05260,4.994
0.05570,5.000
0.05879,5.000
0.06188,5.699
0.06498,5.675
0.06807,5.644
0.07117,6.325
0.07426,6.333
0.07735,6.333
0.08045,6.333
0.08354,6.333
0.08664,6.333
0.08973,6.333
0.09283,6.333
0.09592,6.333
0.09901,6.333
0.10211,6.333
0.10520,6.333
0.10830,6.333
0.11139,4.371
0.11448,4.333
0.11758,4.007
0.12067,4.000
0.12377,3.674
0.12686,2.688
0.12996,2.667
0.13305,2.667
0.13614,2.667
0.13924,2.667
0.14233,2.667
0.14543,2.667
0.14852,3.967
0.15161,4.000
0.15471,4.325
0.15780,4.333
0.16090,4.982
0.16399,5.000
0.16709,5.000
0.17018,5.000
0.17327,5.324
0.17637,5.333
0.17946,5.511
0.18256,6.307
0.18565,5.365
0.18875,6.301
0.19184,7.301
0.19493,8.300
0.19803,8.656
0.20112,7.701
0.20422,6.701
0.20731,6.023
0.21040,5.357
0.21350,5.333
0.21659,5.333
0.21969,5.333
0.22278,5.013
0.22588,5.000
0.22897,5.000
0.23206,5.000
0.23516,4.040
0.23825,4.000
0.24135,4.000
0.24444,4.000
0.24753,2.722
0.25063,2.667
0.25372,2.667
0.25682,2.667
0.25991,3.304
0.26301,3.548
0.26610,4.076
0.26919,4.091
0.27229,4.958
0.27538,5.000
0.27848,5.318
0.28157,5.333
0.28466,6.603
0.28776,7.618
0.29085,7.701
0.29395,7.682
0.29704,8.300
0.30014,9.283
0.30323,9.333
0.30632,9.333
0.30942,9.333
0.31251,9.333
0.31561,9.333
0.31870,9.333
0.32179,9.333
0.32489,9.333
0.32798,8.704
0.33108,8.667
0.33417,7.723
0.33727,7.483
0.34036,6.225
0.34345,5.067
0.34655,3.904
0.34964,2.736
0.35274,2.667
0.35583,1.727
0.35893,2.606
0.36202,2.667
0.36511,2.667
0.36821,2.667
0.37130,2.667
0.37440,2.667
0.37749,3.291
0.38058,3.333
0.38368,4.892
0.38677,5.286
0.38987,6.562
0.39296,6.971
0.39606,8.237
0.39915,8.331
0.40224,9.265
0.40534,9.333
0.40843,10.264
0.41153,10.333
0.41462,10.333
0.41771,10.333
0.42081,11.020
0.42390,11.041
0.42700,11.310
0.43009,11.333
0.43319,9.838
0.43628,9.364
0.43937,9.333
0.44247,8.853
0.44556,7.755
0.44866,7.050
0.45175,6.692
0.45484,6.667
0.45794,5.436
0.46103,5.333
0.46413,5.026
0.46722,5.000
0.47032,5.000
0.47341,5.000
0.47650,5.000
0.47960,5.000
0.48269,5.000
0.48579,5.000
0.48888,5.306
0.49197,5.333
0.49507,5.944
0.49816,6.611
0.50126,6.667
0.50435,6.972
0.50745,9.134
0.51054,10.247
0.51363,10.333
0.51673,10.333
0.51982,11.550
0.52292,12.578
0.52601,12.667
0.52911,12.667
0.53220,12.667
0.53529,12.667
0.53839,12.667
0.54148,12.197
0.54458,11.411
0.54767,11.333
0.55076,11.333
0.55386,11.333
0.55695,9.823
0.56005,9.369
0.56314,8.644
0.56624,7.452
0.56933,6.128
0.57242,5.755
0.57552,4.774
0.57861,4.539
0.58171,3.453
0.58480,3.333
0.58789,3.333
0.59099,3.333
0.59408,3.647
0.59718,4.571
0.60027,4.667
0.60337,5.200
0.60646,8.316
0.60955,8.667
0.61265,10.161
0.61574,10.544
0.61884,11.495
0.62193,12.736
0.62502,13.784
0.62812,14.500
0.63121,15.255
0.63431,15.333
0.63740,15.631
0.64050,15.667
0.64359,15.964
0.64668,16.000
0.64978,16.000
0.65287,16.000
0.65597,15.407
0.65906,15.333
0.66215,14.149
0.66525,13.112
0.66834,12.113
0.67144,10.818
0.67453,10.371
0.67763,8.857
0.68072,7.782
0.68381,7.372
0.68691,6.155
0.69000,6.000
0.69310,4.823
0.69619,4.637
0.69929,3.778
0.70238,3.667
0.70547,5.135
0.70857,5.333
0.71166,5.799
0.71476,6.567
0.71785,6.881
0.72094,7.573
0.72404,8.058
0.72713,8.304
0.73023,10.964
0.73332,11.874
0.73642,12.872
0.73951,14.167
0.74260,14.485
0.74570,15.683
0.74879,16.152
0.75189,16.899
0.75498,18.745
0.75807,19.000
0.76117,18.128
0.76426,18.000
0.76736,17.130
0.77045,17.000
0.77355,16.131
0.77664,15.710
0.77973,15.377
0.78283,14.465
0.78592,12.562
0.78902,10.020
0.79211,8.832
0.79520,8.708
0.79830,8.338
0.80139,9.022
0.80449,7.614
0.80758,7.393
0.81068,6.312
0.81377,6.160
0.81686,5.660
0.81996,5.566
0.82305,4.886
0.82615,4.789
0.82924,5.600
0.83233,6.498
0.83543,8.180
0.83852,9.770
0.84162,11.474
0.84471,13.330
0.84781,14.951
0.85090,15.979
0.85399,17.284
0.85709,18.773
0.86018,20.177
0.86328,20.629
0.86637,21.107
0.86946,22.346
0.87256,23.231
0.87565,21.923
0.87875,20.815
0.88184,20.727
0.88494,20.706
0.88803,20.112
0.89112,19.728
0.89422,19.103
0.89731,18.151
0.90041,17.435
0.90350,15.115
0.90660,12.903
0.90969,10.743
0.91278,8.654
0.91588,7.283
0.91897,6.233
0.92207,6.113
0.92516,5.841
0.92825,4.844
0.93135,4.667
0.93444,4.926
0.93754,5.280
0.94063,6.175
0.94373,6.333
0.94682,6.893
0.94991,7.840
0.95301,9.231
0.95610,10.822
0.95920,12.167
0.96229,14.503
0.96538,16.998
0.96848,19.575
0.97157,21.861
0.97467,23.639
0.97776,28.221
0.98086,28.318
0.98395,26.588
0.98704,25.767
0.99014,24.614
0.99323,24.158
0.99633,24.653
0.99942,24.543
1.00251,23.914
1.00561,23.453
1.00870,23.310
1.01180,22.847
1.01489,21.684
1.01799,19.687
1.02108,17.684
1.02417,15.992
1.02727,13.256
1.03036,11.271
1.03346,8.775
1.03655,6.683
1.03964,4.959
1.04274,4.206
1.04583,4.077
1.04893,4.868
1.05202,6.111
1.05512,6.143
1.05821,6.602
1.06130,7.558
1.06440,9.442
1.06749,12.149
1.07059,14.852
1.07368,17.517
1.07678,20.103
1.07987,20.655
1.08296,21.756
1.08606,22.815
1.08915,24.088
1.09225,24.654
1.09534,26.042
1.09843,27.181
1.10153,28.345
1.10462,28.031
1.10772,27.495
1.11081,27.628
1.11391,26.972
1.11700,26.219
1.12009,25.577
1.12319,24.683
1.12628,23.818
1.12938,22.857
1.13247,20.510
1.13556,17.439
1.13866,14.012
1.14175,10.944
1.14485,8.403
1.14794,6.781
1.15104,6.642
1.15413,6.667
1.15722,7.396
1.16032,7.650
1.16341,7.399
1.16651,7.333
1.16960,7.601
1.17269,8.201
1.17579,8.868
1.17888,10.335
1.18198,11.467
1.18507,13.000
1.18817,13.333
1.19126,14.665
1.19435,17.395
1.19745,20.394
1.20054,24.987
1.20364,29.088
1.20673,31.887
1.20982,33.611
1.21292,33.983
1.21601,34.080
1.21911,34.473
1.22220,35.213
1.22530,35.721
1.22839,36.161
1.23148,36.542
1.23458,35.217
1.23767,31.842
1.24077,27.247
1.24386,22.995
1.24696,19.109
1.25005,16.574
1.25314,14.468
1.25624,11.690
1.25933,9.050
1.26243,7.062
1.26552,6.667
1.26861,6.707
1.27171,6.937
1.27480,6.976
1.27790,6.996
1.28099,7.261
1.28409,8.117
1.28718,9.890
1.29027,11.632
1.29337,13.042
1.29646,15.156
1.29956,20.611
1.30265,24.080
1.30574,25.706
1.30884,26.519
1.31193,28.224
1.31503,31.260
1.31812,33.296
1.32122,34.024
1.32431,37.196
1.32740,39.203
1.33050,39.509
1.33359,38.858
1.33669,38.714
1.33978,39.022
1.34287,38.861
1.34597,37.893
1.34906,36.203
1.35216,34.152
1.35525,32.168
1.35835,30.407
1.36144,28.342
1.36453,25.131
1.36763,20.083
1.37072,16.052
1.37382,14.010
1.37691,13.859
1.38000,13.959
1.38310,13.492
1.38619,12.601
1.38929,11.584
1.39238,10.313
1.39548,9.236
1.39857,9.131
1.40166,8.935
1.40476,8.119
1.40785,10.145
1.41095,14.632
1.41404,19.671
1.41714,24.987
1.42023,31.455
1.42332,36.142
1.42642,36.548
1.42951,37.612
1.43261,39.518
1.43570,40.874
1.43879,43.314
1.44189,43.965
1.44498,42.475
1.44808,41.418
1.45117,41.854
1.45427,43.517
1.45736,45.005
1.46045,45.729
1.46355,46.221
1.46664,45.581
1.46974,44.803
1.47283,44.072
1.47592,40.896
1.47902,36.672
1.48211,32.941
1.48521,29.383
1.48830,25.235
1.49140,19.405
1.49449,14.471
1.49758,11.839
1.50068,10.836
1.50377,9.751
1.50687,8.855
1.50996,8.739
1.51305,9.439
1.51615,10.907
1.51924,12.325
1.52234,18.364
1.52543,22.150
1.52853,26.027
1.53162,29.764
1.53471,31.922
1.53781,33.862
1.54090,36.622
1.54400,39.888
1.54709,41.516
1.55018,43.178
1.55328,46.530
1.55637,51.561
1.55947,54.715
1.56256,53.666
1.56566,52.993
1.56875,53.328
1.57184,53.724
1.57494,56.157
1.57803,57.039
1.58113,56.020
1.58422,56.664
1.58732,53.787
1.59041,47.623
1.59350,44.382
1.59660,36.361
1.59969,31.297
1.60279,27.374
1.60588,22.616
1.60897,18.479
1.61207,15.336
1.61516,13.670
1.61826,12.904
1.62135,12.421
1.62445,12.055
1.62754,11.751
1.63063,12.391
1.63373,14.357
1.63682,17.654
1.63992,21.319
1.64301,25.838
1.64610,33.076
1.64920,40.420
1.65229,50.364
1.65539,58.140
1.65848,60.195
1.66158,59.218
1.66467,56.766
1.66776,54.597
1.67086,59.138
1.67395,60.986
1.67705,60.302
1.68014,62.164
1.68323,65.669
1.68633,67.732
1.68942,68.204
1.69252,67.324
1.69561,65.224
1.69871,59.087
1.70180,52.035
1.70489,47.870
1.70799,47.070
1.71108,45.543
1.71418,42.029
1.71727,37.604
1.72036,31.422
1.72346,25.586
1.72655,21.035
