Distance_(unit),Gray_Value
0.00000,2.667
0.00309,2.667
0.00619,2.667
0.00928,2.667
0.01238,2.667
0.01547,2.667
0.01857,2.667
0.02166,2.667
0.02475,2.667
0.02785,2.667
0.03094,2.667
0.03404,2.667
0.03713,2.667
0.04022,2.667
0.04332,2.667
0.04641,2.667
0.04951,2.667
0.05260,2.667
0.05570,2.667
0.05879,2.667
0.06188,2.667
0.06498,2.667
0.06807,2.667
0.07117,2.667
0.07426,2.667
0.07735,2.667
0.08045,2.667
0.08354,2.667
0.08664,2.667
0.08973,2.667
0.09283,2.667
0.09592,2.667
0.09901,2.667
0.10211,2.667
0.10520,2.667
0.10830,2.667
0.11139,2.667
0.11448,2.667
0.11758,2.667
0.12067,2.667
0.12377,2.667
0.12686,2.667
0.12996,2.667
0.13305,2.667
0.13614,4.000
0.13924,4.000
0.14233,4.000
0.14543,4.000
0.14852,4.000
0.15161,4.000
0.15471,4.000
0.15780,4.000
0.16090,4.000
0.16399,4.000
0.16709,4.000
0.17018,4.000
0.17327,4.000
0.17637,4.000
0.17946,4.000
0.18256,4.000
0.18565,4.000
0.18875,4.000
0.19184,4.000
0.19493,4.000
0.19803,4.000
0.20112,4.000
0.20422,4.000
0.20731,4.000
0.21040,5.000
0.21350,5.000
0.21659,5.000
0.21969,5.000
0.22278,5.000
0.22588,5.000
0.22897,5.000
0.23206,5.300
0.23516,4.000
0.23825,4.000
0.24135,4.000
0.24444,4.000
0.24753,4.000
0.25063,4.000
0.25372,4.000
0.25682,4.000
0.25991,4.000
0.26301,4.000
0.26610,4.000
0.26919,4.000
0.27229,4.000
0.27538,4.000
0.27848,4.000
0.28157,4.000
0.28466,5.000
0.28776,5.000
0.29085,5.000
0.29395,6.000
0.29704,6.000
0.30014,6.000
0.30323,6.000
0.30632,6.000
0.30942,5.000
0.31251,5.000
0.31561,5.000
0.31870,5.000
0.32179,4.333
0.32489,4.333
0.32798,4.333
0.33108,4.333
0.33417,4.045
0.33727,4.333
0.34036,4.333
0.34345,4.333
0.34655,4.333
0.34964,4.333
0.35274,4.333
0.35583,4.333
0.35893,5.000
0.36202,5.000
0.36511,5.000
0.36821,5.000
0.37130,5.000
0.37440,5.000
0.37749,5.000
0.38058,5.000
0.38368,5.000
0.38677,5.000
0.38987,5.000
0.39296,5.000
0.39606,5.000
0.39915,5.000
0.40224,5.000
0.40534,5.000
0.40843,5.000
0.41153,5.000
0.41462,5.000
0.41771,5.000
0.42081,5.000
0.42390,5.000
0.42700,5.000
0.43009,5.000
0.43319,6.333
0.43628,6.479
0.43937,6.477
0.44247,6.476
0.44556,6.333
0.44866,6.333
0.45175,5.749
0.45484,5.333
0.45794,5.333
0.46103,5.333
0.46413,5.133
0.46722,5.132
0.47032,5.000
0.47341,5.000
0.47650,5.000
0.47960,5.000
0.48269,5.333
0.48579,5.333
0.48888,5.333
0.49197,6.333
0.49507,6.333
0.49816,7.333
0.50126,7.451
0.50435,7.449
0.50745,9.667
0.51054,8.667
0.51363,8.667
0.51673,7.667
0.51982,7.667
0.52292,6.667
0.52601,6.667
0.52911,6.667
0.53220,5.541
0.53529,5.539
0.53839,5.333
0.54148,5.333
0.54458,5.333
0.54767,5.333
0.55076,5.333
0.55386,5.333
0.55695,6.427
0.56005,6.425
0.56314,6.757
0.56624,7.667
0.56933,7.843
0.57242,8.100
0.57552,9.333
0.57861,9.333
0.58171,9.333
0.58480,9.333
0.58789,9.333
0.59099,9.333
0.59408,9.333
0.59718,9.333
0.60027,8.816
0.60337,8.813
0.60646,7.667
0.60955,7.667
0.61265,7.667
0.61574,7.667
0.61884,7.667
0.62193,7.667
0.62502,7.667
0.62812,7.125
0.63121,8.333
0.63431,8.513
0.63740,9.333
0.64050,10.333
0.64359,11.333
0.64668,12.333
0.64978,13.333
0.65287,13.333
0.65597,13.333
0.65906,11.481
0.66215,11.333
0.66525,11.333
0.66834,10.333
0.67144,8.667
0.67453,7.709
0.67763,8.375
0.68072,8.333
0.68381,8.333
0.68691,7.000
0.69000,6.333
0.69310,6.403
0.69619,7.133
0.69929,9.333
0.70238,10.333
0.70547,11.696
0.70857,13.333
0.71166,15.333
0.71476,16.359
0.71785,17.357
0.72094,17.356
0.72404,16.333
0.72713,16.333
0.73023,14.389
0.73332,15.385
0.73642,16.000
0.73951,14.956
0.74260,12.627
0.74570,11.000
0.74879,11.301
0.75189,12.277
0.75498,10.333
0.75807,10.333
0.76117,9.667
0.76426,9.000
0.76736,10.333
0.77045,11.000
0.77355,11.667
0.77664,12.667
0.77973,14.325
0.78283,14.333
0.78592,15.000
0.78902,16.000
0.79211,16.000
0.79520,17.000
0.79830,17.000
0.80139,17.000
0.80449,16.667
0.80758,16.667
0.81068,15.333
0.81377,14.333
0.81686,13.315
0.81996,12.000
0.82305,11.667
0.82615,11.000
0.82924,9.739
0.83233,9.667
0.83543,9.053
0.83852,9.056
0.84162,11.000
0.84471,12.092
0.84781,14.333
0.85090,15.667
0.85399,19.000
0.85709,20.631
0.86018,21.667
0.86328,21.667
0.86637,22.213
0.86946,21.168
0.87256,19.624
0.87565,18.623
0.87875,18.333
0.88184,18.000
0.88494,17.000
0.88803,15.235
0.89112,13.333
0.89422,11.719
0.89731,10.440
0.90041,9.667
0.90350,9.667
0.90660,11.552
0.90969,13.000
0.91278,13.333
0.91588,13.000
0.91897,13.063
0.92207,14.795
0.92516,17.000
0.92825,18.000
0.93135,20.537
0.93444,24.333
0.93754,24.909
0.94063,23.235
0.94373,23.667
0.94682,23.891
0.94991,23.667
0.95301,20.411
0.95610,18.079
0.95920,18.000
0.96229,17.748
0.96538,14.165
0.96848,13.333
0.97157,13.829
0.97467,12.087
0.97776,13.685
0.98086,14.691
0.98395,15.029
0.98704,15.276
0.99014,17.000
0.99323,17.856
0.99633,18.763
0.99942,19.195
1.00251,21.395
1.00561,24.133
1.00870,26.755
1.01180,27.435
1.01489,26.709
1.01799,24.333
1.02108,23.653
1.02417,22.883
1.02727,24.109
1.03036,21.777
1.03346,19.667
1.03655,17.780
1.03964,16.333
1.04274,15.333
1.04583,15.549
1.04893,15.785
1.05202,17.640
1.05512,15.667
1.05821,18.421
1.06130,22.628
1.06440,24.667
1.06749,25.667
1.07059,26.333
1.07368,25.000
1.07678,29.549
1.07987,30.937
1.08296,29.933
1.08606,28.391
1.08915,29.307
1.09225,30.921
1.09534,29.917
1.09843,25.633
1.10153,25.667
1.10462,24.667
1.10772,22.667
1.11081,20.479
1.11391,18.627
1.11700,18.333
1.12009,18.149
1.12319,18.699
1.12628,20.333
1.12938,21.333
1.13247,22.691
1.13556,27.333
1.13866,36.000
1.14175,37.333
1.14485,34.000
1.14794,34.172
1.15104,35.341
1.15413,36.005
1.15722,39.667
1.16032,41.167
1.16341,35.504
1.16651,32.169
1.16960,30.667
1.17269,28.333
1.17579,26.987
1.17888,25.667
1.18198,27.667
1.18507,26.199
1.18817,25.333
1.19126,25.333
1.19435,23.333
1.19745,23.635
1.20054,26.667
1.20364,25.667
1.20673,26.333
1.20982,28.333
1.21292,31.901
1.21601,35.572
1.21911,40.243
1.22220,44.827
1.22530,49.083
1.22839,47.412
1.23148,48.000
1.23458,47.667
1.23767,44.333
1.24077,40.660
1.24386,38.784
