Distance_(unit),Gray_Value
1.0922,76.648
1.0953,78.111
1.0984,80.344
1.1015,73.776
1.1046,76.539
1.1077,77.225
1.1108,79.562
1.1139,75.351
1.1170,77.009
1.1201,88.078
1.1232,81.126
1.1263,78.222
1.1294,80.497
1.1325,73.738
1.1356,74.983
1.1387,77.661
1.1418,74.628
1.1448,76.899
1.1479,71.539
1.1510,78.303
1.1541,78.652
1.1572,78.160
1.1603,84.438
1.1634,78.481
1.1665,78.566
1.1696,81.371
1.1727,81.576
1.1758,82.593
1.1789,74.325
1.1820,72.589
1.1851,69.866
1.1882,66.685
1.1913,63.693
1.1944,67.614
1.1974,70.763
1.2005,66.059
1.2036,67.821
1.2067,65.558
1.2098,55.178
1.2129,55.743
1.2160,61.293
1.2191,55.948
1.2222,54.361
1.2253,58.177
1.2284,59.412
1.2315,59.594
1.2346,60.860
1.2377,57.003
1.2408,60.202
1.2439,60.006
1.2470,52.345
1.2500,58.008
1.2531,69.100
1.2562,69.114
1.2593,69.654
1.2624,71.518
1.2655,71.210
1.2686,69.446
1.2717,70.861
1.2748,69.595
1.2779,63.171
1.2810,59.888
1.2841,66.293
1.2872,66.422
1.2903,63.427
1.2934,64.953
1.2965,63.960
1.2996,59.059
1.3027,55.177
1.3057,61.011
1.3088,62.862
1.3119,61.963
1.3150,63.021
1.3181,65.710
1.3212,65.275
1.3243,66.795
1.3274,70.480
1.3305,73.280
1.3336,73.317
1.3367,69.102
1.3398,67.570
1.3429,74.473
1.3460,81.659
1.3491,79.682
1.3522,74.725
1.3553,70.399
1.3583,71.165
1.3614,71.510
1.3645,72.890
1.3676,81.637
1.3707,85.842
1.3738,81.281
1.3769,82.979
1.3800,88.492
1.3831,81.279
1.3862,76.493
1.3893,79.430
1.3924,83.107
1.3955,83.657
1.3986,85.008
1.4017,89.103
1.4048,96.376
1.4079,101.673
1.4109,100.362
1.4140,94.658
1.4171,93.656
1.4202,95.978
1.4233,99.922
1.4264,103.935
1.4295,103.207
1.4326,100.475
1.4357,99.462
1.4388,98.326
1.4419,100.951
1.4450,100.982
1.4481,95.678
1.4512,97.653
1.4543,92.747
1.4574,91.319
1.4605,92.094
1.4635,92.160
1.4666,93.140
1.4697,97.985
1.4728,100.400
1.4759,95.648
1.4790,93.370
1.4821,96.983
1.4852,93.485
1.4883,93.316
1.4914,95.714
1.4945,93.303
1.4976,93.803
1.5007,93.157
1.5038,89.760
1.5069,94.108
1.5100,100.234
1.5131,103.945
1.5161,106.045
1.5192,107.243
1.5223,105.560
1.5254,102.686
1.5285,102.458
1.5316,100.368
1.5347,97.515
1.5378,97.015
1.5409,98.125
1.5440,99.762
1.5471,102.482
1.5502,106.234
1.5533,107.407
1.5564,101.575
1.5595,104.082
1.5626,111.325
1.5657,109.654
1.5688,104.470
1.5718,105.092
1.5749,108.626
1.5780,105.027
1.5811,103.492
1.5842,107.241
1.5873,111.331
1.5904,102.326
1.5935,96.886
1.5966,105.802
1.5997,108.756
1.6028,107.585
1.6059,101.648
1.6090,101.157
1.6121,108.926
1.6152,106.158
1.6183,96.984
1.6214,97.073
1.6244,97.261
1.6275,96.398
1.6306,97.349
1.6337,93.352
1.6368,87.554
1.6399,86.961
1.6430,85.633
1.6461,80.046
1.6492,76.652
1.6523,78.314
1.6554,79.577
1.6585,80.473
1.6616,81.424
1.6647,78.983
1.6678,79.521
1.6709,83.991
1.6740,79.208
1.6770,74.675
1.6801,77.171
1.6832,78.048
1.6863,79.199
1.6894,80.925
1.6925,81.568
1.6956,81.949
1.6987,78.986
1.7018,84.586
1.7049,82.110
1.7080,84.125
1.7111,84.384
1.7142,80.464
1.7173,80.185
1.7204,80.778
1.7235,76.621
1.7266,79.608
1.7296,79.666
1.7327,78.656
1.7358,73.717
1.7389,69.968
1.7420,69.673
1.7451,78.045
1.7482,81.313
1.7513,70.506
1.7544,66.341
1.7575,75.220
1.7606,80.265
1.7637,79.573
1.7668,78.409
1.7699,74.339
1.7730,71.221
1.7761,71.012
1.7792,70.993
1.7822,75.306
1.7853,82.776
1.7884,90.253
1.7915,93.646
1.7946,90.913
1.7977,87.519
1.8008,87.266
1.8039,88.317
1.8070,88.822
1.8101,84.449
1.8132,80.834
1.8163,87.574
1.8194,94.698
1.8225,92.768
1.8256,93.470
1.8287,91.847
1.8318,88.282
1.8348,85.420
1.8379,83.402
1.8410,81.786
1.8441,81.039
1.8472,81.231
1.8503,85.750
1.8534,92.655
1.8565,92.244
1.8596,87.272
1.8627,90.923
1.8658,88.150
1.8689,88.306
1.8720,89.196
1.8751,90.805
1.8782,86.989
1.8813,84.365
1.8844,92.007
1.8875,89.847
1.8905,87.774
1.8936,84.916
1.8967,80.510
1.8998,80.345
1.9029,80.121
1.9060,81.806
1.9091,80.174
1.9122,75.775
1.9153,82.307
1.9184,90.557
1.9215,87.350
1.9246,87.126
1.9277,89.167
1.9308,87.584
1.9339,84.524
1.9370,83.791
1.9401,81.759
1.9431,79.721
1.9462,80.862
1.9493,80.146
1.9524,81.674
1.9555,80.145
1.9586,78.154
1.9617,77.910
1.9648,78.755
1.9679,81.057
1.9710,86.827
1.9741,79.648
1.9772,79.860
1.9803,86.868
1.9834,85.977
1.9865,78.044
1.9896,72.218
1.9927,69.771
1.9957,70.281
1.9988,68.378
2.0019,69.886
2.0050,78.834
2.0081,84.811
2.0112,81.085
2.0143,78.264
2.0174,76.498
2.0205,69.142
2.0236,68.049
2.0267,69.104
2.0298,72.073
2.0329,69.943
2.0360,63.927
2.0391,63.670
2.0422,68.491
2.0453,70.524
2.0483,67.580
2.0514,71.029
2.0545,70.729
2.0576,68.047
2.0607,67.373
2.0638,64.884
2.0669,64.886
2.0700,71.433
2.0731,73.577
2.0762,73.885
2.0793,72.371
2.0824,74.991
2.0855,76.646
2.0886,71.811
2.0917,71.377
2.0948,75.066
2.0979,70.425
2.1009,70.745
2.1040,70.916
2.1071,70.655
2.1102,73.081
2.1133,76.177
2.1164,73.766
2.1195,68.947
2.1226,75.031
2.1257,78.339
2.1288,80.374
2.1319,79.448
2.1350,75.236
2.1381,72.407
2.1412,72.378
2.1443,74.144
2.1474,78.258
2.1505,79.132
2.1536,78.393
2.1566,79.577
2.1597,80.749
2.1628,78.049
2.1659,75.295
2.1690,78.623
2.1721,77.240
2.1752,74.832
2.1783,75.174
2.1814,76.747
2.1845,76.108
2.1876,72.858
2.1907,72.435
2.1938,74.912
2.1969,75.745
2.2000,75.862
2.2031,78.336
2.2062,81.636
2.2092,80.276
2.2123,74.790
2.2154,69.337
2.2185,66.644
2.2216,66.692
2.2247,69.022
2.2278,70.223
2.2309,68.977
2.2340,69.237
2.2371,71.469
2.2402,72.000
2.2433,70.842
2.2464,74.039
2.2495,70.629
2.2526,70.475
2.2557,77.290
2.2588,76.384
2.2618,69.019
2.2649,67.155
2.2680,77.239
2.2711,83.467
2.2742,78.895
2.2773,71.424
2.2804,72.895
2.2835,72.419
2.2866,71.117
2.2897,75.800
2.2928,71.539
2.2959,75.600
2.2990,72.250
2.3021,70.996
2.3052,71.042
2.3083,65.197
2.3114,64.064
2.3144,70.183
2.3175,68.802
2.3206,64.312
2.3237,72.304
