Distance_(unit),Gray_Value
0.00000,77.000
0.00309,64.966
0.00619,55.000
0.00928,59.101
0.01238,55.202
0.01547,61.084
0.01857,59.494
0.02166,64.413
0.02475,66.607
0.02785,77.772
0.03094,87.607
0.03404,88.124
0.03713,88.730
0.04022,87.722
0.04332,93.230
0.04641,95.862
0.04951,87.135
0.05260,87.430
0.05570,88.517
0.05879,85.601
0.06188,84.854
0.06498,85.416
0.06807,89.764
0.07117,84.871
0.07426,82.281
0.07735,75.545
0.08045,75.826
0.08354,76.531
0.08664,76.079
0.08973,67.919
0.09283,73.146
0.09592,69.913
0.09901,60.989
0.10211,58.410
0.10520,60.202
0.10830,61.787
0.11139,54.809
0.11448,65.767
0.11758,63.067
0.12067,69.096
0.12377,71.704
0.12686,77.061
0.12996,76.985
0.13305,75.111
0.13614,79.086
0.13924,76.241
0.14233,84.245
0.14543,93.234
0.14852,89.633
0.15161,78.521
0.15471,79.824
0.15780,85.948
0.16090,84.790
0.16399,82.133
0.16709,84.852
0.17018,87.057
0.17327,81.779
0.17637,85.304
0.17946,91.200
0.18256,88.164
0.18565,82.667
0.18875,76.582
0.19184,59.468
0.19493,58.741
0.19803,57.861
0.20112,62.690
0.20422,66.560
0.20731,64.667
0.21040,67.228
0.21350,77.178
0.21659,86.719
0.21969,80.778
0.22278,79.854
0.22588,84.154
0.22897,89.742
0.23206,84.472
0.23516,80.843
0.23825,88.702
0.24135,87.610
0.24444,85.877
0.24753,87.610
0.25063,85.529
0.25372,80.830
0.25682,87.066
0.25991,81.551
0.26301,84.775
0.26610,85.000
0.26919,80.798
0.27229,83.472
0.27538,78.250
0.27848,73.253
0.28157,82.520
0.28466,58.247
0.28776,53.649
0.29085,60.000
0.29395,57.399
0.29704,46.573
0.30014,53.730
0.30323,58.871
0.30632,63.331
0.30942,66.618
0.31251,69.228
0.31561,85.011
0.31870,82.315
0.32179,86.801
0.32489,83.782
0.32798,72.627
0.33108,83.765
0.33417,98.948
0.33727,89.608
0.34036,87.343
0.34345,103.483
0.34655,88.888
0.34964,88.809
0.35274,88.725
0.35583,82.907
0.35893,85.955
0.36202,88.916
0.36511,95.955
0.36821,91.008
0.37130,84.000
0.37440,90.020
0.37749,83.197
0.38058,81.183
0.38368,80.865
0.38677,77.893
0.38987,64.481
0.39296,59.877
0.39606,62.588
0.39915,59.405
0.40224,64.049
0.40534,62.810
0.40843,70.903
0.41153,82.150
0.41462,83.925
0.41771,81.254
0.42081,85.936
0.42390,87.358
0.42700,83.341
0.43009,81.408
0.43319,82.910
0.43628,88.584
0.43937,97.837
0.44247,91.385
0.44556,83.708
0.44866,92.444
0.45175,85.230
0.45484,87.388
0.45794,81.730
0.46103,83.323
0.46413,80.264
0.46722,73.183
0.47032,82.753
0.47341,85.736
0.47650,75.573
0.47960,86.388
0.48269,89.910
0.48579,80.292
0.48888,70.446
0.49197,75.307
0.49507,70.498
0.49816,68.375
0.50126,62.032
0.50435,57.523
0.50745,65.397
0.51054,75.009
0.51363,80.672
0.51673,74.667
0.51982,89.757
0.52292,86.122
0.52601,86.099
0.52911,93.164
0.53220,89.015
0.53529,92.377
0.53839,80.466
0.54148,89.000
0.54458,89.483
0.54767,85.475
0.55076,86.500
0.55386,91.983
0.55695,95.734
0.56005,85.192
0.56314,83.532
0.56624,93.004
0.56933,80.367
0.57242,73.696
0.57552,84.485
0.57861,85.415
0.58171,78.558
0.58480,75.630
0.58789,60.193
0.59099,61.514
0.59408,63.236
0.59718,63.253
0.60027,59.382
0.60337,67.854
0.60646,80.532
0.60955,74.248
0.61265,62.009
0.61574,67.667
0.61884,72.723
0.62193,82.911
0.62502,98.582
