Distance_(mm),Gray_Value
0.0000,14.915
0.0582,14.878
0.1164,15.056
0.1746,15.308
0.2328,15.668
0.2910,15.851
0.3492,16.112
0.4073,16.107
0.4655,16.084
0.5237,16.077
0.5819,15.872
0.6401,15.800
0.6983,15.813
0.7565,15.919
0.8147,15.934
0.8729,15.854
0.9311,15.760
0.9893,15.707
1.0475,15.686
1.1057,15.668
1.1639,15.782
1.2220,15.768
1.2802,15.781
1.3384,15.776
1.3966,15.942
1.4548,15.995
1.5130,15.981
1.5712,16.061
1.6294,16.298
1.6876,16.437
1.7458,16.451
1.8040,16.640
1.8622,16.541
1.9204,16.378
1.9786,16.350
2.0367,16.531
2.0949,16.749
2.1531,16.858
2.2113,16.982
2.2695,17.130
2.3277,17.338
2.3859,17.611
2.4441,17.781
2.5023,17.934
2.5605,18.109
2.6187,18.499
2.6769,18.521
2.7351,18.573
2.7932,18.589
2.8514,18.719
2.9096,18.817
2.9678,18.908
3.0260,18.958
3.0842,18.898
3.1424,19.056
3.2006,19.148
3.2588,19.184
3.3170,19.297
3.3752,19.555
3.4334,19.829
3.4916,20.198
3.5498,21.053
3.6079,21.308
3.6661,21.527
3.7243,21.988
3.7825,22.019
3.8407,21.861
3.8989,21.842
3.9571,22.026
4.0153,22.203
4.0735,21.888
4.1317,21.572
4.1899,21.199
4.2481,20.857
4.3063,20.716
4.3644,20.609
4.4226,20.554
4.4808,20.755
4.5390,20.599
4.5972,20.397
4.6554,20.212
4.7136,20.174
4.7718,20.284
4.8300,20.454
4.8882,20.798
4.9464,21.661
5.0046,22.699
5.0628,23.318
5.1210,23.423
5.1791,23.135
5.2373,23.098
5.2955,23.191
5.3537,23.080
5.4119,22.657
5.4701,22.514
5.5283,22.351
5.5865,22.263
5.6447,21.890
5.7029,21.392
5.7611,20.977
5.8193,20.983
5.8775,21.643
5.9357,22.272
5.9938,22.715
6.0520,23.280
6.1102,23.973
6.1684,24.594
6.2266,25.216
6.2848,25.332
6.3430,25.327
6.4012,25.183
6.4594,25.265
6.5176,25.372
6.5758,25.061
6.6340,24.713
6.6922,24.527
6.7503,24.268
6.8085,23.869
6.8667,23.472
6.9249,22.998
6.9831,22.799
7.0413,22.874
7.0995,23.188
7.1577,23.924
7.2159,24.396
7.2741,25.549
7.3323,26.945
7.3905,27.852
7.4487,28.735
7.5069,30.020
7.5650,30.929
7.6232,31.137
7.6814,31.031
7.7396,30.212
7.7978,29.340
7.8560,28.734
7.9142,27.985
7.9724,27.050
8.0306,26.366
8.0888,25.790
8.1470,25.370
8.2052,24.831
8.2634,24.531
8.3216,24.483
8.3797,24.761
8.4379,25.242
8.4961,25.759
8.5543,26.059
8.6125,26.182
8.6707,26.563
8.7289,26.663
8.7871,26.274
8.8453,25.673
8.9035,25.131
8.9617,24.570
9.0199,24.100
9.0781,23.298
9.1362,22.856
9.1944,21.822
9.2526,21.242
9.3108,20.715
9.3690,20.581
9.4272,20.555
9.4854,20.840
9.5436,21.516
9.6018,22.407
9.6600,23.773
9.7182,24.655
9.7764,25.460
9.8346,26.197
9.8928,27.004
9.9509,27.525
10.0091,27.686
10.0673,27.499
10.1255,26.863
10.1837,26.257
10.2419,25.863
10.3001,26.040
10.3583,26.305
10.4165,26.135
10.4747,25.709
10.5329,25.889
10.5911,26.310
10.6493,26.315
10.7075,26.611
10.7656,27.475
10.8238,29.189
10.8820,31.366
10.9402,33.939
10.9984,37.010
11.0566,41.252
11.1148,45.838
11.1730,49.191
11.2312,50.538
11.2894,50.847
11.3476,49.983
11.4058,48.650
11.4640,46.383
11.5221,43.719
11.5803,41.624
11.6385,40.593
11.6967,39.909
11.7549,39.011
11.8131,38.142
11.8713,37.503
11.9295,37.587
11.9877,38.423
12.0459,39.545
12.1041,41.530
12.1623,44.308
12.2205,47.772
12.2787,51.288
12.3368,54.415
12.3950,56.537
12.4532,58.203
12.5114,58.743
12.5696,58.945
12.6278,58.526
12.6860,57.216
12.7442,54.408
12.8024,50.854
12.8606,47.079
12.9188,43.568
12.9770,41.011
13.0352,39.212
13.0934,38.756
13.1515,39.177
13.2097,40.336
13.2679,42.520
13.3261,44.711
13.3843,47.773
13.4425,51.822
13.5007,57.208
13.5589,62.086
13.6171,65.023
13.6753,66.325
13.7335,67.059
13.7917,65.991
13.8499,62.980
13.9080,59.324
13.9662,55.740
14.0244,52.365
14.0826,48.884
14.1408,45.981
14.1990,43.732
14.2572,41.635
14.3154,40.519
14.3736,39.731
14.4318,39.953
14.4900,40.703
14.5482,43.182
14.6064,46.474
14.6646,50.540
14.7227,55.385
14.7809,61.070
14.8391,66.243
14.8973,69.575
14.9555,69.018
15.0137,66.855
15.0719,64.906
15.1301,63.157
15.1883,61.399
15.2465,59.427
15.3047,57.041
15.3629,54.362
15.4211,51.800
15.4792,49.597
15.5374,47.814
15.5956,47.324
15.6538,48.238
15.7120,51.126
15.7702,55.158
15.8284,60.438
15.8866,66.373
15.9448,72.329
16.0030,78.186
16.0612,84.495
16.1194,88.370
16.1776,89.047
16.2358,88.213
16.2939,87.409
16.3521,86.506
16.4103,84.593
16.4685,80.947
16.5267,76.177
16.5849,71.329
16.6431,68.493
16.7013,65.932
16.7595,65.220
16.8177,66.245
16.8759,68.851
16.9341,72.153
16.9923,76.549
17.0505,81.809
17.1086,89.273
17.1668,98.326
17.2250,105.850
17.2832,109.603
17.3414,111.184
17.3996,111.458
17.4578,111.942
17.5160,110.012
17.5742,106.039
17.6324,101.720
17.6906,97.783
17.7488,93.879
17.8070,90.011
17.8651,86.845
17.9233,84.938
17.9815,84.290
