Distance_(mm),Gray_Value
0.0000,53.054
0.0582,53.259
0.1164,53.339
0.1746,53.297
0.2328,53.146
0.2910,53.587
0.3492,54.183
0.4073,54.912
0.4655,56.044
0.5237,57.048
0.5819,57.701
0.6401,57.808
0.6983,57.831
0.7565,57.801
0.8147,57.397
0.8729,57.167
0.9311,56.865
0.9893,56.441
1.0475,56.169
1.1057,56.151
1.1639,56.009
1.2220,56.040
1.2802,55.910
1.3384,56.040
1.3966,56.540
1.4548,57.233
1.5130,57.747
1.5712,58.106
1.6294,58.611
1.6876,59.244
1.7458,59.315
1.8040,59.270
1.8622,58.772
1.9204,58.056
1.9786,57.773
2.0367,57.737
2.0949,57.717
2.1531,57.885
2.2113,58.357
2.2695,59.069
2.3277,59.860
2.3859,60.614
2.4441,61.243
2.5023,61.672
2.5605,62.132
2.6187,62.348
2.6769,62.535
2.7351,62.799
2.7932,62.887
2.8514,62.475
2.9096,61.554
2.9678,60.673
3.0260,59.596
3.0842,58.676
3.1424,58.652
3.2006,58.543
3.2588,58.403
3.3170,58.053
3.3752,57.637
3.4334,57.530
3.4916,58.463
3.5498,60.018
3.6079,61.092
3.6661,61.782
3.7243,61.968
3.7825,62.400
3.8407,63.101
3.8989,63.426
3.9571,63.533
4.0153,63.284
4.0735,63.025
4.1317,62.902
4.1899,62.705
4.2481,62.302
4.3063,61.870
4.3644,61.464
4.4226,61.355
4.4808,61.385
4.5390,61.769
4.5972,62.557
4.6554,63.548
4.7136,64.810
4.7718,66.244
4.8300,67.703
4.8882,69.018
4.9464,70.401
5.0046,70.288
5.0628,70.518
5.1210,70.277
5.1791,69.468
5.2373,68.199
5.2955,67.184
5.3537,66.909
5.4119,65.976
5.4701,65.101
5.5283,64.474
5.5865,64.066
5.6447,63.810
5.7029,64.279
5.7611,65.263
5.8193,66.718
5.8775,67.968
5.9357,68.443
5.9938,68.851
6.0520,69.106
6.1102,68.743
6.1684,67.696
6.2266,66.052
6.2848,64.432
6.3430,62.995
6.4012,61.589
6.4594,60.153
6.5176,58.791
6.5758,57.740
6.6340,57.263
6.6922,57.321
6.7503,57.993
6.8085,59.753
6.8667,61.459
6.9249,63.239
6.9831,65.256
7.0413,67.019
7.0995,68.318
7.1577,69.019
7.2159,68.858
7.2741,67.666
7.3323,66.117
7.3905,64.570
7.4487,62.917
7.5069,61.442
7.5650,60.522
7.6232,60.175
7.6814,60.072
7.7396,60.696
7.7978,62.248
7.8560,64.170
7.9142,66.439
7.9724,68.728
8.0306,70.401
8.0888,71.594
8.1470,72.318
8.2052,72.427
8.2634,72.425
8.3216,72.172
8.3797,71.728
8.4379,70.707
8.4961,69.850
8.5543,69.484
8.6125,69.012
8.6707,68.422
8.7289,68.144
8.7871,67.868
8.8453,68.034
8.9035,68.629
