Distance_(mm),Gray_Value
0.0000,60.261
0.0582,60.094
0.1164,59.325
0.1746,58.269
0.2328,56.920
0.2910,55.798
0.3492,54.377
0.4073,52.996
0.4655,51.700
0.5237,50.701
0.5819,50.391
0.6401,50.593
0.6983,50.996
0.7565,52.017
0.8147,53.034
0.8729,53.982
0.9311,55.716
0.9893,58.438
1.0475,61.652
1.1057,64.280
1.1639,66.264
1.2220,66.781
1.2802,66.450
1.3384,65.102
1.3966,62.658
1.4548,58.463
1.5130,54.796
1.5712,51.606
1.6294,49.733
1.6876,48.278
1.7458,48.452
1.8040,48.659
1.8622,49.260
1.9204,50.772
1.9786,52.979
2.0367,55.443
2.0949,58.160
2.1531,60.968
2.2113,63.121
2.2695,64.402
2.3277,64.734
2.3859,64.110
2.4441,62.649
2.5023,60.811
2.5605,59.345
2.6187,57.652
2.6769,56.782
2.7351,55.907
2.7932,55.118
2.8514,54.827
2.9096,55.434
2.9678,56.862
3.0260,58.457
3.0842,60.534
3.1424,63.152
3.2006,65.571
3.2588,67.766
3.3170,69.199
3.3752,70.370
3.4334,71.172
3.4916,71.316
3.5498,71.166
3.6079,69.907
3.6661,68.154
3.7243,65.386
3.7825,62.195
3.8407,59.405
3.8989,57.716
3.9571,56.515
4.0153,56.415
4.0735,57.531
4.1317,59.089
4.1899,60.922
4.2481,63.359
4.3063,66.413
4.3644,69.379
4.4226,70.909
4.4808,71.069
4.5390,71.488
4.5972,71.601
4.6554,70.444
4.7136,69.034
4.7718,67.252
4.8300,64.741
4.8882,62.178
4.9464,59.910
5.0046,58.882
5.0628,57.955
5.1210,57.211
5.1791,57.229
5.2373,57.951
5.2955,59.619
5.3537,61.689
5.4119,65.018
5.4701,67.806
5.5283,69.919
5.5865,71.460
5.6447,72.423
5.7029,73.096
5.7611,72.662
5.8193,71.368
5.8775,70.047
5.9357,69.181
5.9938,68.233
6.0520,66.808
6.1102,64.888
6.1684,62.711
6.2266,61.259
6.2848,60.739
6.3430,61.203
6.4012,62.836
6.4594,64.883
6.5176,67.219
6.5758,69.961
6.6340,72.993
6.6922,75.686
6.7503,78.152
6.8085,79.583
6.8667,79.388
6.9249,78.569
6.9831,77.350
7.0413,76.047
7.0995,74.528
7.1577,72.593
7.2159,69.910
7.2741,67.702
7.3323,66.035
7.3905,64.912
7.4487,64.289
7.5069,64.338
7.5650,65.894
7.6232,68.244
7.6814,70.778
7.7396,74.028
7.7978,77.894
7.8560,81.253
7.9142,83.515
7.9724,84.693
8.0306,84.972
8.0888,83.879
8.1470,81.722
8.2052,79.243
8.2634,76.197
8.3216,72.815
8.3797,69.361
8.4379,66.574
8.4961,65.134
8.5543,65.090
8.6125,65.940
8.6707,67.758
8.7289,70.706
8.7871,73.295
8.8453,76.103
8.9035,78.803
8.9617,81.051
9.0199,82.543
9.0781,83.118
9.1362,82.632
9.1944,81.766
9.2526,79.923
9.3108,76.635
9.3690,72.978
9.4272,69.645
9.4854,67.083
9.5436,64.967
9.6018,63.468
9.6600,63.417
9.7182,63.722
9.7764,65.739
9.8346,68.550
9.8928,72.617
9.9509,76.543
10.0091,80.208
10.0673,83.282
10.1255,85.037
10.1837,86.360
10.2419,87.295
10.3001,86.931
10.3583,84.984
10.4165,82.303
10.4747,80.667
10.5329,78.938
10.5911,76.865
10.6493,74.959
10.7075,73.669
10.7656,72.553
10.8238,73.013
10.8820,74.096
10.9402,76.378
10.9984,78.969
11.0566,81.927
11.1148,84.432
11.1730,86.314
11.2312,87.945
11.2894,88.858
11.3476,87.853
11.4058,85.900
11.4640,84.289
11.5221,82.808
11.5803,81.432
11.6385,79.652
