Distance_(mm),Gray_Value
0.0000,20.329
0.0582,20.468
0.1164,20.567
0.1746,20.668
0.2328,20.906
0.2910,21.229
0.3492,21.513
0.4073,21.778
0.4655,21.953
0.5237,21.984
0.5819,22.342
0.6401,22.978
0.6983,23.354
0.7565,23.598
0.8147,23.570
0.8729,23.468
0.9311,23.572
0.9893,23.913
1.0475,23.667
1.1057,23.716
1.1639,23.990
1.2220,24.304
1.2802,24.336
1.3384,23.885
1.3966,23.445
1.4548,23.012
1.5130,22.953
1.5712,23.068
1.6294,23.106
1.6876,23.338
1.7458,23.624
1.8040,23.999
1.8622,24.374
1.9204,25.166
1.9786,26.231
2.0367,27.193
2.0949,27.393
2.1531,27.073
2.2113,26.351
2.2695,25.661
2.3277,25.536
2.3859,25.851
2.4441,26.197
2.5023,26.388
2.5605,26.744
2.6187,27.476
2.6769,27.876
2.7351,28.026
2.7932,28.261
2.8514,28.557
2.9096,29.455
2.9678,30.615
3.0260,31.430
3.0842,30.827
3.1424,29.196
3.2006,27.808
3.2588,27.022
3.3170,27.011
3.3752,26.677
3.4334,26.107
3.4916,25.657
3.5498,25.275
3.6079,25.243
3.6661,25.649
3.7243,26.304
3.7825,26.965
3.8407,27.355
3.8989,27.252
3.9571,27.264
4.0153,27.810
4.0735,28.689
4.1317,29.247
4.1899,29.420
4.2481,29.529
4.3063,29.272
4.3644,29.003
4.4226,28.617
4.4808,28.314
4.5390,28.048
4.5972,27.916
4.6554,27.978
4.7136,27.986
4.7718,28.413
4.8300,29.271
4.8882,30.135
4.9464,31.260
5.0046,32.498
5.0628,33.360
5.1210,33.511
5.1791,33.208
5.2373,33.209
5.2955,32.556
5.3537,31.984
5.4119,31.543
5.4701,31.669
5.5283,32.027
5.5865,32.716
5.6447,33.270
5.7029,32.488
5.7611,32.315
5.8193,32.576
5.8775,33.016
5.9357,33.542
5.9938,33.769
6.0520,33.966
6.1102,34.459
6.1684,35.028
6.2266,35.322
6.2848,35.251
6.3430,34.951
6.4012,34.330
