Distance_(mm),Gray_Value
0.0000,17.540
0.0582,17.196
0.1164,17.310
0.1746,17.988
0.2328,18.846
0.2910,19.689
0.3492,19.931
0.4073,20.038
0.4655,20.170
0.5237,19.533
0.5819,19.045
0.6401,18.495
0.6983,18.158
0.7565,16.982
0.8147,16.965
0.8729,16.818
0.9311,16.968
0.9893,17.000
1.0475,17.006
1.1057,17.290
1.1639,17.645
1.2220,19.253
1.2802,19.761
1.3384,20.011
1.3966,20.321
1.4548,21.280
1.5130,21.737
1.5712,21.875
1.6294,21.808
1.6876,20.255
1.7458,19.945
1.8040,19.132
1.8622,18.681
1.9204,18.050
1.9786,17.867
2.0367,17.596
2.0949,17.488
2.1531,19.049
2.2113,18.668
2.2695,18.102
2.3277,17.698
2.3859,18.165
2.4441,18.887
2.5023,20.100
2.5605,20.985
2.6187,22.098
2.6769,22.438
2.7351,22.846
2.7932,22.765
2.8514,23.220
2.9096,23.293
2.9678,23.440
3.0260,23.334
3.0842,21.724
3.1424,21.659
3.2006,21.268
3.2588,21.022
3.3170,20.543
3.3752,20.304
3.4334,19.664
3.4916,19.529
3.5498,20.250
3.6079,21.299
3.6661,22.484
3.7243,22.628
3.7825,22.124
3.8407,22.239
3.8989,23.310
3.9571,24.592
4.0153,26.038
4.0735,27.134
4.1317,27.449
4.1899,27.951
4.2481,27.436
4.3063,26.386
4.3644,24.888
4.4226,24.094
4.4808,24.307
4.5390,23.240
4.5972,21.429
4.6554,19.766
4.7136,18.401
4.7718,18.248
4.8300,18.062
4.8882,18.653
4.9464,20.576
5.0046,21.252
5.0628,22.197
5.1210,22.973
5.1791,23.925
5.2373,24.703
5.2955,26.167
5.3537,27.148
5.4119,29.346
5.4701,30.748
5.5283,30.810
5.5865,29.784
5.6447,27.954
5.7029,26.494
5.7611,26.148
5.8193,26.279
5.8775,23.360
5.9357,22.453
5.9938,21.859
6.0520,21.557
6.1102,21.084
6.1684,20.912
6.2266,21.165
6.2848,21.769
6.3430,22.956
6.4012,23.944
6.4594,25.710
6.5176,27.450
6.5758,30.101
6.6340,31.689
6.6922,33.192
6.7503,34.049
6.8085,33.473
6.8667,32.972
6.9249,32.494
6.9831,31.839
7.0413,30.528
7.0995,29.334
7.1577,27.716
7.2159,26.913
7.2741,25.893
7.3323,25.484
7.3905,25.030
7.4487,24.657
7.5069,24.185
7.5650,23.727
7.6232,22.855
7.6814,22.911
7.7396,26.290
7.7978,28.097
7.8560,30.863
7.9142,36.656
7.9724,42.828
8.0306,46.320
8.0888,46.020
8.1470,44.014
8.2052,43.262
8.2634,40.227
8.3216,34.968
8.3797,30.195
8.4379,27.114
8.4961,24.619
8.5543,21.516
8.6125,19.219
8.6707,17.987
8.7289,17.695
8.7871,18.506
8.8453,19.174
8.9035,20.359
8.9617,20.775
9.0199,21.195
9.0781,21.535
9.1362,24.516
9.1944,25.312
9.2526,25.489
9.3108,25.968
9.3690,26.626
9.4272,26.925
9.4854,27.097
9.5436,26.962
9.6018,26.732
9.6600,26.135
9.7182,24.793
9.7764,23.415
9.8346,21.854
9.8928,20.098
9.9509,18.818
10.0091,18.260
10.0673,18.575
10.1255,18.986
10.1837,20.037
10.2419,21.937
10.3001,24.378
10.3583,26.725
10.4165,28.564
10.4747,30.011
10.5329,32.681
10.5911,34.633
10.6493,36.284
10.7075,37.084
10.7656,36.497
10.8238,35.425
10.8820,35.651
10.9402,36.741
10.9984,34.890
11.0566,31.852
11.1148,29.871
11.1730,29.693
11.2312,29.756
11.2894,29.571
11.3476,30.901
11.4058,34.167
11.4640,39.627
11.5221,43.782
11.5803,47.217
11.6385,49.799
11.6967,53.274
11.7549,57.435
11.8131,60.503
11.8713,61.328
11.9295,62.031
11.9877,63.904
12.0459,64.248
12.1041,60.649
12.1623,56.051
12.2205,51.975
12.2787,48.201
12.3368,44.470
12.3950,39.894
12.4532,37.111
12.5114,35.563
12.5696,34.931
12.6278,35.592
12.6860,37.660
12.7442,41.070
12.8024,44.195
12.8606,49.801
12.9188,52.779
12.9770,57.426
13.0352,60.784
