Distance_(mm),Gray_Value
0.0000,59.818
0.0582,57.800
0.1164,54.963
0.1746,52.301
0.2328,49.972
0.2910,48.619
0.3492,47.990
0.4073,48.106
0.4655,48.463
0.5237,49.045
0.5819,49.980
0.6401,51.497
0.6983,53.152
0.7565,55.113
0.8147,56.822
0.8729,58.352
0.9311,59.408
0.9893,60.353
1.0475,61.115
1.1057,61.238
1.1639,60.600
1.2220,58.785
1.2802,56.470
1.3384,54.180
1.3966,52.096
1.4548,50.369
1.5130,49.202
1.5712,49.008
1.6294,50.010
1.6876,51.360
1.7458,52.625
1.8040,54.226
1.8622,56.331
1.9204,58.746
1.9786,60.826
2.0367,62.082
2.0949,62.605
2.1531,61.064
2.2113,58.651
2.2695,56.522
2.3277,54.225
2.3859,52.215
2.4441,50.825
2.5023,49.971
2.5605,49.848
2.6187,50.165
2.6769,51.178
2.7351,52.439
2.7932,53.831
2.8514,56.330
2.9096,59.271
2.9678,63.297
3.0260,66.885
3.0842,69.376
3.1424,70.095
3.2006,69.813
3.2588,68.947
3.3170,68.065
3.3752,66.662
3.4334,64.206
3.4916,60.704
3.5498,57.452
3.6079,55.530
3.6661,53.975
3.7243,53.057
3.7825,52.396
3.8407,52.100
3.8989,53.251
3.9571,56.109
4.0153,59.813
4.0735,63.436
4.1317,67.002
4.1899,70.241
4.2481,72.909
4.3063,74.440
4.3644,74.405
4.4226,72.907
4.4808,69.861
4.5390,67.055
4.5972,64.715
4.6554,62.623
4.7136,60.870
4.7718,59.034
4.8300,57.679
4.8882,56.718
4.9464,56.779
5.0046,57.404
5.0628,58.109
5.1210,59.674
5.1791,61.378
5.2373,63.255
5.2955,64.939
5.3537,66.564
5.4119,68.305
5.4701,69.879
5.5283,70.899
5.5865,71.413
5.6447,71.260
5.7029,69.801
5.7611,67.179
5.8193,64.799
5.8775,62.585
5.9357,60.928
5.9938,59.786
6.0520,59.636
6.1102,60.280
6.1684,61.645
6.2266,63.632
6.2848,66.208
6.3430,68.917
6.4012,71.418
6.4594,73.592
6.5176,75.141
6.5758,76.153
6.6340,76.058
6.6922,75.444
6.7503,74.585
6.8085,73.585
6.8667,71.842
6.9249,70.074
6.9831,68.461
7.0413,66.994
7.0995,65.752
7.1577,64.764
7.2159,64.274
7.2741,64.947
7.3323,66.808
7.3905,68.993
