Distance_(mm),Gray_Value
0.0000,19.207
0.0582,19.831
0.1164,20.560
0.1746,21.592
0.2328,22.240
0.2910,22.695
0.3492,23.611
0.4073,25.271
0.4655,25.954
0.5237,26.657
0.5819,27.473
0.6401,28.663
0.6983,29.652
0.7565,30.230
0.8147,30.283
0.8729,29.964
0.9311,29.758
0.9893,28.689
1.0475,27.436
1.1057,26.235
1.1639,25.463
1.2220,24.806
1.2802,23.904
1.3384,23.255
1.3966,22.473
1.4548,22.582
1.5130,22.999
1.5712,23.490
1.6294,24.299
1.6876,25.551
1.7458,26.485
1.8040,27.559
1.8622,28.447
1.9204,30.183
1.9786,31.541
2.0367,32.845
2.0949,34.356
2.1531,36.000
2.2113,36.929
2.2695,36.474
2.3277,35.393
2.3859,33.980
2.4441,32.547
2.5023,30.914
2.5605,29.153
2.6187,26.920
2.6769,25.211
2.7351,23.691
2.7932,22.491
2.8514,22.057
2.9096,22.697
2.9678,23.353
3.0260,23.998
3.0842,25.223
3.1424,26.940
3.2006,29.543
3.2588,32.494
3.3170,35.762
3.3752,38.623
3.4334,40.359
3.4916,40.210
3.5498,39.027
3.6079,37.354
3.6661,35.067
3.7243,32.437
3.7825,28.948
3.8407,26.486
3.8989,23.916
3.9571,21.535
4.0153,19.158
4.0735,17.411
4.1317,16.229
4.1899,15.762
4.2481,16.207
4.3063,16.719
4.3644,18.154
4.4226,19.919
4.4808,22.283
4.5390,24.332
4.5972,26.254
4.6554,27.560
4.7136,29.274
4.7718,31.276
4.8300,31.823
4.8882,30.882
4.9464,29.357
5.0046,28.452
5.0628,28.211
5.1210,28.027
5.1791,26.940
5.2373,25.494
5.2955,24.003
5.3537,22.885
5.4119,21.646
5.4701,20.697
5.5283,19.990
5.5865,19.616
5.6447,20.432
5.7029,21.638
5.7611,24.532
5.8193,26.276
5.8775,30.001
5.9357,33.702
5.9938,39.398
6.0520,44.472
6.1102,49.713
6.1684,53.464
6.2266,55.236
6.2848,55.372
6.3430,55.181
6.4012,54.909
6.4594,54.445
6.5176,52.939
6.5758,49.343
6.6340,45.418
6.6922,42.644
6.7503,40.999
6.8085,39.066
6.8667,36.489
6.9249,34.860
6.9831,34.188
7.0413,34.611
7.0995,36.395
7.1577,39.897
7.2159,42.771
7.2741,46.602
7.3323,50.156
7.3905,54.731
7.4487,58.748
7.5069,63.154
7.5650,66.755
7.6232,69.194
7.6814,70.615
7.7396,70.312
7.7978,68.706
7.8560,65.181
7.9142,61.098
7.9724,55.171
8.0306,50.132
8.0888,45.979
8.1470,42.536
8.2052,40.007
8.2634,38.357
8.3216,38.243
8.3797,39.182
8.4379,40.367
8.4961,42.817
8.5543,46.627
8.6125,51.878
8.6707,57.688
8.7289,63.296
8.7871,66.312
8.8453,67.810
8.9035,69.272
8.9617,69.551
9.0199,69.249
9.0781,68.672
9.1362,67.064
9.1944,65.630
9.2526,64.015
9.3108,61.289
9.3690,56.832
9.4272,52.206
9.4854,45.921
9.5436,41.385
9.6018,37.803
9.6600,37.105
9.7182,36.760
9.7764,37.496
9.8346,39.390
9.8928,42.049
9.9509,47.757
10.0091,53.365
10.0673,58.640
10.1255,63.271
10.1837,69.976
10.2419,76.590
10.3001,83.240
10.3583,85.816
10.4165,85.842
10.4747,83.820
10.5329,80.938
10.5911,78.562
10.6493,77.306
10.7075,76.679
10.7656,73.177
10.8238,68.000
10.8820,62.891
10.9402,57.812
10.9984,54.527
11.0566,53.273
11.1148,53.998
11.1730,56.222
11.2312,59.985
11.2894,64.911
11.3476,71.478
11.4058,78.482
11.4640,86.305
11.5221,93.109
11.5803,101.372
11.6385,109.191
11.6967,114.973
11.7549,116.289
11.8131,115.860
11.8713,115.446
11.9295,114.575
11.9877,112.080
12.0459,107.307
12.1041,102.257
12.1623,96.935
12.2205,92.039
12.2787,86.860
12.3368,82.411
12.3950,79.637
12.4532,77.891
12.5114,77.300
12.5696,78.135
12.6278,81.066
12.6860,85.324
12.7442,91.758
12.8024,98.758
12.8606,106.662
12.9188,113.189
12.9770,120.066
13.0352,126.638
13.0934,132.393
13.1515,134.687
13.2097,135.005
13.2679,134.544
13.3261,135.415
13.3843,136.232
13.4425,133.688
13.5007,128.592
13.5589,122.343
13.6171,114.232
13.6753,107.110
13.7335,102.232
13.7917,99.502
13.8499,98.012
13.9080,97.931
13.9662,99.024
14.0244,102.211
14.0826,107.568
14.1408,115.265
14.1990,126.109
14.2572,138.102
14.3154,147.230
14.3736,152.282
14.4318,153.988
14.4900,157.352
14.5482,161.445
14.6064,164.993
14.6646,165.561
14.7227,163.649
14.7809,160.298
14.8391,157.383
14.8973,154.206
14.9555,147.351
15.0137,138.868
15.0719,134.205
15.1301,130.873
15.1883,128.740
15.2465,127.014
15.3047,125.246
15.3629,128.390
15.4211,138.648
15.4792,152.067
15.5374,165.198
15.5956,181.196
15.6538,195.399
15.7120,204.594
15.7702,211.425
15.8284,215.342
15.8866,217.678
15.9448,219.809
16.0030,221.435
16.0612,222.830
16.1194,223.711
16.1776,224.714
16.2358,226.258
16.2939,226.937
16.3521,225.793
16.4103,224.260
16.4685,221.845
16.5267,219.432
16.5849,217.708
16.6431,216.104
16.7013,217.505
16.7595,223.137
16.8177,229.491
16.8759,236.167
16.9341,242.445
16.9923,247.449
17.0505,251.055
17.1086,252.535
17.1668,253.197
17.2250,253.133
17.2832,252.539
17.3414,252.513
17.3996,252.107
17.4578,251.548
17.5160,251.548
17.5742,251.862
17.6324,251.885
17.6906,251.345
17.7488,250.712
17.8070,250.753
17.8651,250.741
17.9233,250.826
17.9815,250.939
18.0397,250.988
18.0979,251.059
18.1561,251.107
18.2143,251.533
18.2725,251.173
18.3307,251.296
18.3889,251.476
18.4471,251.701
18.5053,251.816
18.5635,251.870
18.6217,251.899
18.6798,251.902
18.7380,252.171
18.7962,252.457
18.8544,252.498
18.9126,252.528
18.9708,252.647
19.0290,252.879
19.0872,252.878
19.1454,252.616
19.2036,252.953
19.2618,252.917
19.3200,252.762
19.3782,252.611
19.4364,252.555
19.4945,252.854
19.5527,252.985
19.6109,252.772
19.6691,252.904
19.7273,252.962
19.7855,252.972
19.8437,253.003
19.9019,253.003
19.9601,252.946
20.0183,252.912
20.0765,252.582
20.1347,252.957
20.1929,253.328
20.2510,253.367
20.3092,253.270
20.3674,253.225
20.4256,253.090
20.4838,252.846
20.5420,252.757
20.6002,252.557
20.6584,252.845
20.7166,252.708
20.7748,252.505
20.8330,252.451
20.8912,252.233
20.9494,251.571
21.0076,250.783
21.0657,251.306
21.1239,252.110
21.1821,252.218
21.2403,251.282
21.2985,250.767
21.3567,252.179
21.4149,253.590
21.4731,253.867
21.5313,253.810
21.5895,253.503
21.6477,252.947
21.7059,252.231
21.7641,249.742
21.8223,241.279
21.8804,230.332
21.9386,220.443
21.9968,210.189
22.0550,199.550
22.1132,190.463
